#{"t_start": 1760917457.941035, "env_id": "CustomLunarLander-v0"}
r,l,t
1.0,28,170.607203
1.0,41,170.693677
1.0,1,170.695953
1.0,57,170.811785
-1.0,122,171.062783
1.0,71,171.21496
1.0,8,171.232245
1.0,48,171.330986
1.0,1,171.333282
1.0,58,171.456789
-1.0,143,171.753337
1.0,70,171.896378
-1.0,70,172.039944
-1.0,223,172.501232
-1.0,188,172.886842
1.0,4,172.895337
1.0,48,172.994547
-1.0,72,173.142613
1.0,1,173.144915
-1.0,120,173.391468
-1.0,74,173.54543
1.0,53,173.652527
1.0,31,173.717074
1.0,80,173.882537
-1.0,307,174.516456
1.0,51,185.706449
-1.0,274,186.266008
1.0,71,186.412778
-1.0,122,186.66537
1.0,109,186.889159
-1.0,221,187.341214
1.0,44,187.43101
-1.0,134,187.706627
1.0,1,187.709044
-1.0,78,187.868083
1.0,50,187.97239
1.0,72,188.117813
-1.0,123,188.373289
1.0,48,188.471007
-1.0,210,188.899988
-1.0,128,189.165375
-1.0,86,189.340528
-1.0,72,189.48904
1.0,1,189.491395
1.0,29,189.553804
1.0,1,189.556164
-1.0,106,189.775197
1.0,84,201.150426
1.0,48,201.247586
-1.0,114,201.477825
-1.0,105,201.691519
1.0,84,201.862005
1.0,134,202.13302
1.0,1,202.135354
1.0,69,202.275368
1.0,8,202.292537
-1.0,120,202.539375
-1.0,180,202.906147
-1.0,94,203.096691
1.0,1,203.09928
0.0,1000,205.134805
1.0,69,216.838693
-1.0,65,216.975711
1.0,106,217.19226
1.0,101,217.400704
-1.0,89,217.580721
1.0,60,217.70324
1.0,102,217.911357
1.0,48,218.010643
1.0,95,218.206033
-1.0,532,219.297769
1.0,742,220.812828
1.0,1,220.815149
1.0,42,220.901719
-1.0,85,232.736116
1.0,77,232.892647
0.0,1000,234.921122
-1.0,87,235.097364
1.0,64,235.227052
1.0,49,235.325835
1.0,41,235.408714
0.0,1000,249.152109
1.0,63,249.279152
1.0,1,249.281729
1.0,1,249.284342
-1.0,194,249.675516
1.0,17,249.711903
-1.0,81,249.876757
0.0,1000,251.897543
-1.0,68,252.038101
0.0,1000,265.662266
1.0,16,265.695631
0.0,1000,267.72075
