#{"t_start": 1760917457.9300663, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,75,0.18077
1.0,64,0.310717
1.0,33,0.378811
-1.0,88,0.561193
-1.0,82,0.732814
1.0,86,0.911351
1.0,1,0.915245
-1.0,68,1.056653
1.0,120,1.310547
-1.0,123,1.565108
-1.0,105,1.786001
-1.0,82,1.955073
1.0,65,2.08842
1.0,93,2.278981
-1.0,85,2.465102
-1.0,84,2.636842
-1.0,97,2.835176
-1.0,118,3.080169
-1.0,76,3.238449
1.0,65,3.372765
1.0,1,3.375366
-1.0,118,3.620174
-1.0,75,3.776406
1.0,9,3.794961
1.0,65,3.929225
-1.0,82,4.097136
1.0,10,4.118069
-1.0,134,15.607649
-1.0,80,15.77685
1.0,16,15.811196
-1.0,112,16.04569
1.0,1,16.04797
1.0,76,16.211453
-1.0,99,16.421341
-1.0,114,16.661535
-1.0,98,16.864859
-1.0,101,17.074208
-1.0,71,17.222178
1.0,2,17.226897
1.0,72,17.373418
1.0,88,17.556003
-1.0,86,17.733324
-1.0,120,17.98325
1.0,62,18.111946
-1.0,76,18.272872
1.0,51,18.379127
1.0,4,18.388051
1.0,61,18.518169
-1.0,141,18.82187
-1.0,75,18.975287
1.0,1,18.977874
-1.0,94,19.172391
-1.0,94,19.368098
-1.0,165,19.709788
1.0,65,31.10251
1.0,47,31.200561
-1.0,95,31.397553
1.0,22,31.441892
-1.0,107,31.663415
-1.0,87,31.841651
-1.0,160,32.174299
-1.0,112,32.406779
-1.0,82,32.578234
-1.0,176,32.941972
-1.0,115,33.180574
-1.0,139,33.464804
-1.0,127,33.725267
1.0,85,33.899364
1.0,76,34.057356
1.0,55,34.169836
-1.0,119,34.415272
-1.0,143,34.709358
-1.0,93,34.903172
-1.0,96,35.101347
-1.0,179,46.710847
1.0,61,46.837776
1.0,1,46.840053
-1.0,64,46.970754
1.0,50,47.074224
-1.0,108,47.295434
-1.0,88,47.47307
-1.0,142,47.76398
1.0,86,47.938989
-1.0,105,48.153228
-1.0,85,48.326042
1.0,1,48.328366
-1.0,120,48.576735
-1.0,130,48.844139
-1.0,219,49.29862
-1.0,69,49.440224
-1.0,84,49.613567
-1.0,103,49.823945
-1.0,117,50.063593
1.0,64,50.19837
-1.0,122,50.447424
1.0,91,50.634017
-1.0,102,62.101619
-1.0,130,62.368693
1.0,70,62.512182
