tx,ty,ttheta,error,dx,dy,dtheta,success,abs_dx,abs_dy,abs_dtheta
0.5,0.5,3.140000104904175,0.7558246850967407,0.6002765893936157,-0.45144206285476685,0.08449292182922363,0.0,0.6002765893936157,0.45144206285476685,0.08449292182922363
0.49312087893486023,0.5924858450889587,4.055646896362305,0.8388177156448364,0.8135024309158325,-0.20121073722839355,0.036649227142333984,0.0,0.8135024309158325,0.20121073722839355,0.036649227142333984
0.35526242852211,0.1271394044160843,5.379161834716797,4.84569787979126,0.5340579748153687,-1.3219560384750366,4.631198883056641,0.0,0.5340579748153687,1.3219560384750366,4.631198883056641
0.47005143761634827,1.0611867904663086,-4.205935478210449,0.7128260731697083,0.4711180329322815,0.5061448216438293,-0.17316532135009766,0.0,0.4711180329322815,0.5061448216438293,0.17316532135009766
-0.08930531144142151,0.5005772709846497,4.826598167419434,0.27773454785346985,0.25381866097450256,0.07097128033638,0.08761072158813477,0.0,0.25381866097450256,0.07097128033638,0.08761072158813477
0.2589572072029114,1.110728144645691,-0.6399703025817871,0.7140176892280579,0.21465569734573364,-0.26060354709625244,-0.6291502118110657,0.0,0.21465569734573364,0.26060354709625244,0.6291502118110657
-0.49097028374671936,0.7486894130706787,-4.93311071395874,0.9594791531562805,-0.49200519919395447,0.7568717002868652,-0.32507896423339844,0.0,0.49200519919395447,0.7568717002868652,0.32507896423339844
0.5897361040115356,0.8527469038963318,2.9189035892486572,0.6317293047904968,0.6198832988739014,-0.12119698524475098,0.011743545532226562,0.0,0.6198832988739014,0.12119698524475098,0.011743545532226562
-0.26185324788093567,1.3104422092437744,4.446094989776611,0.5874813199043274,0.2303580939769745,0.538945198059082,0.04009389877319336,0.0,0.2303580939769745,0.538945198059082,0.04009389877319336
0.5010902881622314,0.26276224851608276,-0.37637656927108765,1.3356976509094238,0.5144894123077393,-1.167635202407837,-0.3949899673461914,0.0,0.5144894123077393,1.167635202407837,0.3949899673461914
-0.8211532235145569,0.20829080045223236,2.070234775543213,1.19688081741333,-0.7198911309242249,0.18281888961791992,-0.9385402202606201,0.0,0.7198911309242249,0.18281888961791992,0.9385402202606201
0.4405718743801117,1.306138038635254,-1.969868779182434,0.5627754926681519,0.1485235095024109,0.5201573967933655,-0.1552201509475708,0.0,0.1485235095024109,0.5201573967933655,0.1552201509475708
-0.23317252099514008,0.6339002847671509,-3.511996030807495,0.4075523614883423,-0.40195000171661377,-0.04681903123855591,-0.04840564727783203,0.0,0.40195000171661377,0.04681903123855591,0.04840564727783203
-0.6661412715911865,0.6422016024589539,-3.0885825157165527,1.2200835943222046,-0.7954409122467041,-0.08449393510818481,-0.9212701320648193,0.0,0.7954409122467041,0.08449393510818481,0.9212701320648193
