tx,ty,ttheta,error,dx,dy,dtheta,target_distance,success
0.5,0.5,3.14,3.0874527,-0.32902566,1.0365702,-2.8895724,3.0559678,0
0.49312088,0.59248585,4.055647,3.9629598,-0.35892022,0.95822364,-3.828581,3.9065075,0
0.35526243,0.1271394,5.379162,5.3631945,-0.31654316,1.3939978,-5.1691804,5.2751,0
0.47005144,1.0611868,-4.2059355,4.0496016,-0.5511903,0.423046,3.989548,4.641276,0
-0.08930531,0.5005773,4.826598,4.7368736,0.14761877,1.0342596,-4.620226,4.565466,0
0.2589572,1.1107281,-0.6399703,0.67363673,-0.33965665,0.37381887,0.4457345,1.3306388,0
-0.49097028,0.7486894,-4.9331107,4.7395554,0.4188584,0.7327707,4.663796,5.308366,0
0.5897361,0.8527469,2.9189036,2.8370671,-0.43205494,0.72811157,-2.7077909,2.9027169,0
-0.26185325,1.3104422,4.446095,4.295904,0.24463904,0.23470676,-4.282506,4.3642755,0
0.5010903,0.26276225,-0.37637657,1.3215702,-0.5063981,1.1603396,0.37910527,1.4968554,0
-0.8211532,0.2082908,2.0702348,2.394301,1.0171076,1.3023839,-1.7326179,2.623349,0
0.44057187,1.306138,-1.9698688,1.8910098,-0.5349269,0.17958772,1.80486,2.6994512,0
-0.23317252,0.6339003,-3.511996,3.3966928,0.15210524,0.8456378,3.2862263,3.82667,0
-0.6661413,0.6422016,-3.0885825,3.019584,0.5896887,0.83427995,2.8415017,3.6272058,0
0.3056652,0.59015507,3.7625017,3.6491594,-0.15317363,0.95359486,-3.5190282,3.5406759,0
0.36047718,0.42169493,3.7577698,3.6989756,-0.20918295,1.1102452,-3.5222178,3.5949047,0
0.5485758,0.5230958,-2.3939526,2.4779446,-0.63757163,0.95931166,2.1939538,2.9182885,0
0.3284919,0.18866584,-3.3939583,3.4293144,-0.40766096,1.2928814,3.1499949,3.8782396,0
-0.8867479,1.0623479,1.8644192,1.9260426,1.0430162,0.48391616,-1.5451803,2.476941,0
0.36929768,1.0539842,-0.4646516,0.67341346,-0.43389356,0.4157653,0.30391,1.2595085,0
0.12373415,0.18872593,-4.359562,4.288228,-0.19654213,1.2902265,4.0847993,4.7646914,0
0.30312532,0.63597983,0.737803,1.0330635,-0.085819855,0.91596895,-0.46995318,0.7735119,0
0.47699794,0.8568697,0.6059687,0.85674804,-0.31407642,0.7158781,-0.35055915,1.0522062,0
0.10657289,0.4103326,-5.3063254,5.116818,-0.17045514,1.0755931,4.999587,5.6257606,0
-0.11390869,0.2896893,-1.0345167,1.4108571,0.040109366,1.1803666,0.77177954,1.5779918,0
0.6361255,0.31581828,-4.995478,4.8962913,-0.70083433,1.1755242,4.701132,5.487336,0
-0.39350897,0.39635155,1.8312327,1.9836324,0.59497464,1.12534,-1.5213194,1.8440704,0
0.10265787,1.0582625,1.8583423,1.6703438,0.09825289,0.5077325,-1.5882702,1.7355669,0
-0.16850364,1.0989275,-3.7664475,3.5741973,0.08421667,0.3834877,3.5525668,4.138046,0
-0.8591182,0.121564604,2.5148249,2.8120492,1.039383,1.3852937,-2.2154603,3.0496402,0
-0.06862099,0.21771689,0.011816128,1.2070808,0.063313216,1.205385,-0.009087438,1.0276147,0
-0.6258382,0.9400324,-0.6089582,0.84603286,0.55372345,0.5384484,0.34530452,1.6033101,0
-0.21416178,0.40704128,1.4734614,1.6551834,0.4314684,1.1165481,-1.1431481,1.4003289,0
-0.24873729,0.11832738,-4.3202515,4.274954,0.17630544,1.3592885,4.0492573,4.778453,0
0.8314158,1.2265838,2.2586343,2.2382257,-0.7676215,0.38464153,-2.0669935,2.7835357,0
-0.42143404,1.308388,3.1525984,2.9450386,0.7192035,0.65928614,-2.77873,3.221193,0
0.39040232,0.606638,-2.5758872,2.5680833,-0.47625676,0.8733787,2.3675811,2.9718454,0
-0.7264962,1.2185131,-0.50015837,0.75055814,0.65425014,0.2641188,0.25599903,1.9383814,0
-0.5357459,0.4130414,0.8959522,1.4489428,0.5304381,1.0100605,-0.8932235,1.3663315,0
-0.581809,1.1564292,2.9237869,2.7545278,0.6945311,0.3868425,-2.6373098,3.0200348,0
0.3950333,0.58332556,1.439829,1.5189178,-0.17633317,0.9634152,-1.160969,1.424196,0
