#{"t_start": 1760797574.2862873, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,80,0.317172
1.0,1,0.320541
1.0,1,0.323814
1.0,1,0.32675
-1.0,73,0.517667
1.0,1,0.520569
1.0,1,0.523464
-1.0,75,0.724746
1.0,1,0.727673
1.0,1,0.730532
1.0,83,0.951775
1.0,120,1.278448
-1.0,64,1.455537
-1.0,240,2.085146
1.0,1,2.08806
-1.0,75,2.286256
1.0,1,2.290053
1.0,1,2.293839
-1.0,115,2.593944
1.0,1,2.597221
-1.0,77,2.808741
1.0,1,2.813819
1.0,1,2.817177
1.0,1,2.820311
-1.0,80,3.385687
-1.0,238,5.608382
-1.0,54,6.102164
-1.0,46,6.527848
-1.0,86,7.381626
1.0,1,7.392905
-1.0,120,8.53074
-1.0,92,9.434019
1.0,1,9.44435
1.0,137,10.742441
-1.0,113,11.774898
-1.0,65,12.372262
-1.0,116,13.448627
-1.0,87,14.300578
-1.0,59,14.863039
-1.0,120,16.011057
1.0,1,16.020813
1.0,1,16.030672
-1.0,53,16.532586
1.0,1,16.542183
1.0,1,16.553277
-1.0,108,17.572748
1.0,1,17.582412
1.0,1,17.591756
-1.0,147,18.936751
-1.0,119,20.066926
1.0,1,20.080833
-1.0,103,21.066255
1.0,1,21.076132
-1.0,82,21.855655
1.0,1,21.865309
-1.0,86,22.652748
-1.0,118,23.80006
-1.0,63,24.398136
1.0,77,25.201624
1.0,1,25.213523
-1.0,88,26.062415
-1.0,96,26.963983
1.0,1,26.973955
-1.0,68,27.583157
-1.0,95,28.465992
-1.0,77,29.184179
-1.0,94,30.052031
-1.0,202,31.956098
1.0,1,31.965938
1.0,1,31.976093
1.0,1,31.986043
-1.0,85,32.818072
-1.0,68,33.45781
1.0,1,33.469705
1.0,1,33.480611
-1.0,73,34.156097
-1.0,152,35.578455
-1.0,210,37.605437
-1.0,54,38.136778
1.0,1,38.147082
-1.0,83,38.928168
-1.0,77,39.648835
-1.0,115,40.720195
1.0,1,40.729486
-1.0,106,41.708802
-1.0,110,42.771352
1.0,97,43.715027
1.0,158,45.154538
1.0,1,45.165223
-1.0,78,45.912313
-1.0,147,47.265292
1.0,1,47.274653
-1.0,101,48.237546
1.0,118,49.350894
1.0,81,50.101388
1.0,1,50.112298
1.0,1,50.122859
-1.0,99,51.03541
-1.0,123,52.206488
1.0,1,52.217067
1.0,1,52.228233
-1.0,140,53.574623
1.0,1,53.584645
1.0,1,53.59444
1.0,1,53.60382
1.0,1,53.613442
1.0,1,53.622789
-1.0,132,54.876973
1.0,1,54.887125
1.0,1,54.898002
1.0,1,54.907698
1.0,1,54.917807
1.0,1,54.928334
1.0,153,56.390231
1.0,1,56.400421
-1.0,110,57.4376
-1.0,205,59.354887
1.0,1,59.364897
-1.0,100,60.317621
-1.0,331,63.396834
-1.0,133,64.643371
1.0,1,64.652814
1.0,1,64.662415
-1.0,102,65.60135
1.0,1,65.611247
1.0,1,65.620781
-1.0,143,66.916238
1.0,1,66.925882
1.0,1,66.935446
1.0,1,66.945017
1.0,1,66.954804
-1.0,110,67.981526
-1.0,126,69.137903
-1.0,127,70.305632
1.0,1,70.315583
-1.0,183,71.992907
1.0,1,72.004735
1.0,1,72.01623
1.0,1,72.026963
1.0,1,72.037856
1.0,1,72.048166
1.0,1,72.058585
1.0,1,72.068473
1.0,1,72.078411
-1.0,302,74.888139
1.0,1,74.898149
1.0,1,74.90808
-1.0,113,75.938394
1.0,1,75.94822
-1.0,144,77.257228
-1.0,59,77.791077
-1.0,161,79.278231
1.0,1,79.289699
-1.0,106,80.303829
1.0,1,80.31444
-1.0,160,81.834798
1.0,115,82.899012
1.0,218,84.926979
1.0,1,84.938147
1.0,1,84.948256
-1.0,511,89.802224
1.0,227,91.980108
1.0,1,91.989638
1.0,1,91.999273
1.0,1,92.00915
0.0,1000,101.096856
1.0,1,101.107646
0.0,1000,110.128673
0.0,1000,119.174486
0.0,1000,128.287262
1.0,1,128.29688
0.0,1000,137.406314
1.0,1,137.416794
0.0,1000,146.519729
1.0,1,146.529898
0.0,1000,155.614018
1.0,1,155.623785
1.0,1,155.633551
1.0,1,155.643051
0.0,1000,164.666943
0.0,1000,173.75096
0.0,1000,183.010843
1.0,1,183.021826
0.0,1000,192.075794
1.0,1,192.08608
0.0,1000,201.225741
1.0,1,201.236277
0.0,1000,210.403584
0.0,1000,219.608359
1.0,1,219.619304
0.0,1000,228.874052
1.0,1,228.884701
1.0,1,228.895202
0.0,1000,238.039468
0.0,1000,247.358199
1.0,1,247.369239
0.0,1000,256.634068
0.0,1000,265.931973
0.0,1000,275.126403
1.0,1,275.137074
0.0,1000,284.569556
1.0,1,284.581224
0.0,1000,293.932247
0.0,1000,303.242084
1.0,1,303.253678
1.0,1,303.264088
1.0,1,303.273845
0.0,1000,312.471113
0.0,1000,321.763268
1.0,1,321.773223
0.0,1000,331.155393
0.0,1000,340.379384
1.0,1,340.389905
1.0,1,340.399876
1.0,1,340.409922
1.0,1,340.420296
0.0,1000,349.893556
0.0,1000,359.439641
0.0,1000,368.861121
1.0,1,368.872439
0.0,1000,378.235903
1.0,1,378.246414
0.0,1000,387.715565
1.0,1,387.727088
0.0,1000,397.178213
0.0,1000,406.593543
0.0,1000,416.092792
1.0,1,416.103203
1.0,274,418.679757
1.0,1,418.690151
0.0,1000,428.118397
1.0,1,428.129576
1.0,1,428.140574
0.0,1000,437.478799
0.0,1000,446.828756
0.0,1000,456.256164
0.0,1000,465.633462
0.0,1000,474.925039
0.0,1000,484.37594
1.0,992,493.659219
0.0,1000,503.074271
-1.0,245,505.405366
1.0,1,505.416465
0.0,1000,514.729379
0.0,1000,524.313389
1.0,1,524.324651
1.0,1,524.335631
0.0,1000,533.639231
1.0,1,533.649648
1.0,1,533.660254
1.0,172,535.251563
1.0,1,535.261769
0.0,1000,544.747877
1.0,1,544.758956
1.0,126,545.972529
1.0,1,545.982982
0.0,1000,555.386567
1.0,326,558.465177
1.0,782,565.882553
0.0,1000,575.335939
0.0,1000,584.738183
1.0,1,584.749571
0.0,1000,594.005586
0.0,1000,603.377942
1.0,1,603.388698
-1.0,191,605.160928
1.0,121,606.308828
1.0,1,606.319087
0.0,1000,615.90962
1.0,252,618.247466
-1.0,103,619.221965
0.0,1000,628.763753
-1.0,216,630.745751
-1.0,588,636.347844
-1.0,296,639.218465
1.0,1,639.228894
-1.0,278,641.887867
1.0,1,641.898738
0.0,1000,651.535708
1.0,97,652.443676
1.0,118,653.55685
1.0,123,654.703363
-1.0,683,661.198613
1.0,1,661.209679
1.0,943,670.246815
1.0,1,670.256968
1.0,1,670.267074
1.0,281,673.057982
1.0,1,673.068691
1.0,905,681.846168
1.0,1,681.85729
1.0,1,681.8747
1.0,406,685.823287
1.0,1,685.834422
-1.0,139,687.158642
1.0,1,687.169716
1.0,254,689.651755
-1.0,193,691.488436
1.0,243,693.808386
1.0,1,693.818879
-1.0,131,695.065755
1.0,1,695.075867
0.0,1000,704.671317
1.0,1,704.682204
1.0,1,704.69278
-1.0,583,710.365747
1.0,1,710.37636
1.0,379,714.04446
0.0,1000,723.732737
1.0,1,723.742851
1.0,1,723.753593
1.0,1,723.763794
1.0,66,724.413016
1.0,70,725.083264
1.0,1,725.094162
1.0,1,725.1053
1.0,1,725.116394
1.0,138,726.442684
-1.0,390,730.245984
1.0,1,730.256675
1.0,1,730.267636
1.0,1,730.278072
1.0,1,730.288172
1.0,1,730.298265
1.0,100,731.283849
-1.0,816,739.166112
1.0,1,739.176508
1.0,1,739.186566
1.0,82,739.969791
1.0,111,741.023674
1.0,1,741.034071
1.0,976,750.421505
1.0,77,751.196529
-1.0,151,752.659509
1.0,141,754.041004
1.0,169,755.67223
-1.0,82,756.496499
1.0,321,759.635382
1.0,93,760.580422
1.0,356,764.09822
1.0,263,766.692672
1.0,91,767.604311
1.0,170,769.277718
1.0,1,769.289179
1.0,1,769.300886
1.0,78,770.068684
1.0,80,770.851114
1.0,68,771.503784
1.0,329,774.614726
1.0,1,774.62493
1.0,1,774.635042
1.0,1,774.645316
1.0,1,774.655374
1.0,77,775.393367
1.0,79,776.151315
1.0,102,777.12099
1.0,1,777.131142
-1.0,75,777.845714
-1.0,109,778.930456
1.0,1,778.940918
-1.0,135,780.263348
1.0,1,780.274506
1.0,1,780.284879
1.0,276,782.996429
1.0,1,783.007177
-1.0,217,785.117723
-1.0,90,785.999691
1.0,1,786.010181
1.0,1,786.02083
-1.0,138,787.365253
1.0,1,787.37598
1.0,67,788.030599
-1.0,100,789.038691
1.0,1,789.048722
1.0,72,789.769608
1.0,47,790.243409
1.0,1,790.254222
1.0,1,790.265807
-1.0,52,790.791765
1.0,116,791.980705
1.0,85,792.841459
-1.0,173,794.544939
1.0,229,796.882933
1.0,232,799.148542
1.0,108,800.216771
1.0,178,801.918784
1.0,61,802.500228
1.0,518,807.591933
1.0,1,807.604617
1.0,105,808.660418
1.0,130,809.937518
1.0,76,810.675153
-1.0,132,811.957463
1.0,1,811.968533
1.0,1,811.979093
1.0,1,811.990343
1.0,1,812.001405
1.0,218,814.170849
1.0,118,815.343111
1.0,1,815.353363
1.0,1,815.363638
-1.0,124,816.627569
0.0,1000,826.569501
1.0,65,827.232595
1.0,1,827.243263
1.0,1,827.254323
1.0,1,827.265724
1.0,1,827.276245
0.0,1000,836.934766
1.0,255,839.393384
1.0,70,840.081976
1.0,73,840.783774
1.0,132,842.076271
1.0,1,842.088017
1.0,83,842.947331
1.0,63,843.580794
1.0,71,844.266738
1.0,1,844.276859
1.0,1,844.287161
1.0,87,845.167106
1.0,75,845.912697
1.0,1,845.92416
1.0,1,845.935863
1.0,1,845.947124
1.0,66,846.606814
1.0,1,846.617911
1.0,101,847.608361
0.0,1000,857.391699
1.0,111,858.468195
1.0,1,858.479361
1.0,83,859.277509
1.0,1,859.288956
0.0,1000,868.989669
1.0,107,870.063636
1.0,1,870.074033
1.0,1,870.085001
1.0,76,870.831661
1.0,204,872.820539
1.0,91,873.726772
1.0,98,874.682453
1.0,68,875.35778
1.0,1,875.369185
1.0,1,875.380263
1.0,97,876.326637
1.0,61,876.934674
1.0,1,876.94561
-1.0,95,877.891622
1.0,96,878.826632
1.0,1,878.842584
1.0,228,881.103656
1.0,1,881.114168
1.0,1,881.125446
1.0,155,882.689293
1.0,85,883.531291
1.0,1,883.541499
1.0,1,883.551682
-1.0,102,884.57454
-1.0,85,885.40269
1.0,99,886.376249
1.0,64,887.041956
1.0,1,887.052769
1.0,84,887.870157
0.0,1000,897.659719
1.0,1,897.670435
1.0,85,898.514463
1.0,185,900.31856
0.0,1000,910.04884
1.0,62,910.660228
1.0,1,910.670895
1.0,59,911.266341
1.0,78,912.046122
1.0,115,913.201776
1.0,86,914.06847
1.0,114,915.229902
1.0,90,916.14756
1.0,60,916.757073
1.0,96,917.716014
1.0,1,917.726872
1.0,1,917.737607
1.0,1,917.748099
1.0,84,918.581313
1.0,136,919.977826
1.0,123,921.229016
1.0,166,922.834569
1.0,109,923.884589
1.0,1,923.895349
1.0,105,924.956154
1.0,90,925.899149
1.0,1,925.91083
1.0,1,925.922269
1.0,1,925.933468
1.0,1,925.945458
1.0,1,925.956305
1.0,1,925.966852
1.0,55,926.506048
1.0,1,926.517309
1.0,1,926.528198
1.0,1,926.539325
1.0,150,928.043807
1.0,1,928.054152
1.0,100,929.050737
1.0,1,929.060677
1.0,1,929.07058
1.0,63,929.670873
1.0,1,929.681264
1.0,1,929.691347
1.0,77,930.473039
1.0,1,930.485032
1.0,90,931.385942
1.0,1,931.396618
1.0,95,932.322006
1.0,1,932.332364
1.0,76,933.073318
1.0,1,933.083587
0.0,1000,942.852381
1.0,86,943.667227
1.0,1,943.678128
1.0,1,943.688427
1.0,153,945.178724
1.0,1,945.1898
1.0,101,946.205085
1.0,1,946.216319
1.0,1,946.227682
1.0,1,946.238114
1.0,1,946.249338
1.0,69,946.953069
1.0,88,947.839833
1.0,1,947.850948
1.0,1,947.861802
-1.0,271,950.561664
1.0,1,950.57191
1.0,1,950.582797
1.0,217,952.772485
1.0,157,954.29029
1.0,1,954.30622
1.0,75,955.056734
1.0,57,955.627372
