#{"t_start": 1759987025.41217, "env_id": "CustomLunarLander-v0"}
r,l,t
-25655.13351,107,0.772343
-32301.888119,124,1.029418
-31162.980203,112,1.256343
-20290.512627,100,1.451444
-22846.33861,89,1.628072
-10708.780175,104,1.832812
-9481.510754,126,2.079487
-5069.280753,107,2.288462
-25506.361208,91,2.462075
-24576.182091,104,2.662747
-34970.474639,104,2.874795
-11843.158113,114,3.108935
-24707.152661,89,3.286161
-54111.202333,132,3.553818
-29401.636359,121,3.799524
-10273.011849,121,4.036899
-13009.008574,140,4.318963
-18305.162031,89,4.496392
-27320.600922,112,15.570198
-5536.048987,87,15.74899
-21785.624561,111,15.9693
-6306.333924,104,16.178223
-17106.268582,97,16.367131
-25423.732666,109,16.580285
-9456.830753,85,16.744411
-26156.752166,98,16.932159
-9414.676212,111,17.146404
-24782.987265,96,17.328743
-33183.504757,110,17.539087
-14171.140751,97,17.73288
-7774.497199,90,17.9254
-8451.437933,88,18.098443
-13602.721304,98,18.28864
-30854.425021,115,18.52762
-33192.460521,107,18.741183
-24337.176946,93,18.92633
-6339.33261,96,19.120093
-31168.486208,100,19.323074
-9525.985583,123,30.540404
-6593.34643,106,30.746076
-16453.798493,116,30.974077
-4677.516862,113,31.212974
-23210.549251,102,31.416347
-6720.407257,90,31.596068
-29949.663984,100,31.793933
-7204.805028,95,31.98196
-21385.913024,154,32.290123
-21873.510558,96,32.484347
-11213.751215,113,32.721967
-29670.718716,97,32.919673
-4058.1476,84,33.091473
-44238.682801,131,33.353882
-22751.025952,101,33.562598
-17513.488666,87,33.739799
-26744.21852,114,33.966661
-8005.965003,102,34.182093
-16670.788322,93,34.372471
-12650.399262,116,34.609773
-27151.060571,98,45.699715
-21129.81565,92,45.883182
-4248.011379,90,46.060781
-25456.663605,116,46.289819
-18985.50423,88,46.465263
-15478.316931,81,46.625515
-13472.897413,103,46.843887
-16758.337848,85,47.025553
-15208.205804,111,47.243553
-16088.466006,93,47.434911
-6501.871105,128,47.693825
-9342.508873,100,47.898696
-23020.010039,88,48.072313
-12961.951715,91,48.257823
-27200.735517,99,48.469213
-28581.590802,140,48.762619
-23782.475165,118,49.003046
-4566.643818,92,49.1865
-8663.924873,102,49.386999
-21409.59349,89,49.562361
-23528.219784,102,60.664409
-34339.069426,145,60.952007
-17340.411693,79,61.110727
-29527.269088,103,61.316376
-15049.015396,116,61.548234
-10966.769874,96,61.745165
-15926.142772,90,61.925416
-15145.076908,91,62.107755
-23858.086405,102,62.321696
-23207.730747,106,62.537678
-20051.523163,107,62.746284
-27445.186415,91,62.924958
-10968.686993,88,63.099928
-15231.896147,97,63.3004
-22623.963755,90,63.479338
-8000.344403,91,63.667589
-3665.835039,90,63.854138
-16196.645929,125,64.131152
-19091.191653,82,64.29069
-26554.147359,106,64.514398
-54580.692456,136,75.679392
-20824.443801,101,75.880961
-31885.738437,116,76.106946
-37017.797657,127,76.356924
-23361.851751,95,76.54835
-24157.612463,108,76.788469
-32977.384395,109,77.00741
-14362.233016,94,77.216059
-29841.67971,94,77.409843
-30966.414412,96,77.610566
-14166.162831,95,77.809037
-10858.491054,121,78.077688
-13892.356907,95,78.263907
-14248.577257,92,78.445863
-35632.70024,117,78.696908
-38358.90373,140,78.967686
-15977.784662,113,79.186208
-16161.028707,89,79.355849
-21651.413101,88,79.525233
-17395.631373,95,79.7205
-7288.014901,99,90.709407
-15911.522808,111,90.943221
-18619.560567,111,91.161625
-28019.94816,105,91.369003
-9951.564433,99,91.563785
-21933.541762,88,91.750635
-22044.171682,96,91.939748
-14384.888016,89,92.119897
-19681.005447,98,92.327994
-25351.311471,119,92.574991
-17729.081294,107,92.781981
-24349.024476,84,92.945119
-10521.149333,108,93.156358
-31181.200647,104,93.367266
-9034.396155,98,93.560287
-10746.437703,102,93.763474
-7002.04474,95,93.95524
-8760.124032,91,94.161848
-24143.873097,85,94.345218
-13083.997796,80,94.533265
-21611.415409,127,94.791392
-17138.159179,82,105.792484
-10837.04684,98,106.011366
-22352.721021,97,106.220438
-14483.382708,107,106.450319
-23449.022767,103,106.675823
-26395.874577,109,106.883366
-21822.686319,89,107.055191
-18243.646577,89,107.233852
-11795.789688,90,107.408424
-10393.201929,99,107.606155
-3804.864967,115,107.825525
-19367.760645,92,108.026605
-11165.521281,102,108.222588
-19462.39163,94,108.419001
-20473.785455,97,108.632186
-16891.270033,81,108.796081
-7823.916735,94,108.986256
-29422.842878,95,109.182438
-40693.982983,148,109.483444
-9750.746993,85,109.65345
-26218.750148,91,120.627527
-16139.408687,102,120.839947
-11452.928165,87,121.027948
-9894.37083,97,121.226538
-11590.825305,105,121.456998
-4621.358677,92,121.664378
-32131.593183,106,121.871771
-26208.951933,91,122.059073
-11340.706681,89,122.241249
-13745.353596,104,122.476452
-8901.47371,98,122.698615
-9062.057413,95,122.885327
-13732.960095,84,123.051438
-28238.796841,109,123.295111
-27738.42838,108,123.520652
-19890.789458,86,123.692529
-23679.852878,93,123.893055
-22701.264475,81,124.070484
-70367.404619,164,124.406726
-5049.027491,87,124.580643
-9117.404522,95,124.781505
-23511.130513,86,135.741751
-20336.464829,104,135.958338
-21886.668834,96,136.142632
-13391.396525,88,136.313754
-12571.092893,97,136.507816
-7974.615191,111,136.724783
-18842.413815,87,136.907561
-11357.926114,100,137.108507
-5514.113605,90,137.302083
-8566.121254,95,137.508824
-9331.467313,99,137.73238
-33618.59904,118,138.045104
-15268.924056,95,138.239832
-25840.502552,105,138.450971
-32633.47663,104,138.662919
-28765.783304,105,138.878391
-10862.410491,108,139.099085
-25519.636912,131,139.363972
-8469.149018,101,139.572456
-28638.91198,100,139.768695
-26325.744258,88,139.943494
-2478.837549,89,151.007209
-46453.481099,136,151.28318
-9254.330939,89,151.459837
-7018.518278,114,151.68653
-15278.281619,73,151.831307
-43823.436608,122,152.072994
-27745.67618,99,152.264575
-21900.041898,110,152.481654
-28501.882639,99,152.689197
-14163.870519,80,152.841959
-19355.032621,105,153.046355
-11536.71802,100,153.241115
-10847.372966,92,153.422362
-4094.573353,87,153.591311
-16056.618164,88,153.759544
-4579.548102,91,153.937622
-14874.136313,111,154.154022
-8019.870373,88,154.327596
-9260.184569,103,154.535449
-22479.834677,101,154.730332
-12618.793071,86,165.830556
-6473.224168,107,166.040694
-25727.748138,94,166.23316
-17027.357673,111,166.457532
-22778.959811,107,166.685485
-18975.999847,84,166.86392
-9137.541824,92,167.076135
-21167.443459,93,167.299042
-10367.200544,80,167.474298
-24448.674044,96,167.700241
-19496.338545,85,167.900957
-32578.898453,116,168.172343
-12322.921597,105,168.423436
-5292.163012,91,168.635895
-13865.476501,93,168.821623
-30384.518347,99,169.022637
-18045.947681,101,169.232147
-12547.674924,81,169.403424
-7044.214965,95,169.614724
-15870.45308,83,169.794713
-7642.571753,87,169.971313
-7969.246561,102,170.201298
-22697.874388,91,181.359091
-24248.663098,114,181.585394
-5981.221566,99,181.774666
-12001.963345,97,181.968068
-23292.058999,94,182.148857
-8002.250037,97,182.34165
-9492.695928,96,182.527285
-17357.306155,127,182.775854
-9087.778739,82,182.935391
-7797.758549,90,183.127091
-4562.545963,94,183.309559
-27156.49261,98,183.499902
-15344.000664,94,183.682188
-6803.477072,99,183.874349
-47028.284403,125,184.119699
-3584.167877,99,184.310579
-9033.345965,113,184.526602
-16942.964663,80,184.681617
-6967.874813,92,184.860666
-40005.941238,120,185.105968
-9333.242818,88,185.271646
-19760.775118,117,196.341623
-24986.154404,146,196.64018
-18394.762728,86,196.828956
-32779.295427,105,197.047069
-13109.337643,120,197.295205
-8998.875692,85,197.470342
-6366.428226,82,197.632302
-4302.738561,80,197.825449
-14353.236642,91,198.062635
-20131.774377,83,198.225171
-13080.799996,100,198.418157
-9166.266376,92,198.596819
-21697.257757,96,198.793795
-32771.627269,114,199.011244
-19734.63665,129,199.260884
-13415.409825,114,199.486462
-2415.921768,86,199.651923
-12678.732144,93,199.834435
-10092.688114,105,200.037953
-600.849239,51,200.139636
-20420.747819,83,211.14603
-14849.9022,74,211.287892
-11425.099468,79,211.441245
-11447.145492,116,211.671565
-19062.683631,77,211.821404
-21805.412298,94,212.007959
-19086.384448,96,212.195278
-19554.241985,85,212.360677
-14123.531343,110,212.590426
-24147.646149,107,212.826372
-13015.581629,77,213.009164
-16920.924451,106,213.248822
-5307.30083,76,213.418421
-7982.276269,97,213.610842
-22097.557143,86,213.777496
-42674.011539,118,214.014837
-9791.500147,85,214.183241
-17221.375129,79,214.337577
-19824.421617,94,214.552513
-16308.540413,78,214.740422
-21765.370372,97,214.966829
-24242.899481,86,215.149887
-24564.283095,99,215.344413
-7986.812911,83,226.469272
-3885.633302,89,226.660036
-47536.561504,126,226.918607
-12428.498326,94,227.117431
-10552.022349,102,227.323792
-18880.867297,82,227.492741
-26732.744148,92,227.677195
-16129.565549,91,227.857281
-34021.84265,109,228.067732
-7768.323295,98,228.271129
-6822.933777,87,228.447454
-5727.977125,88,228.622728
-7445.838344,87,228.802911
-21756.248114,89,228.983191
-8179.791044,87,229.159883
-13425.311887,91,229.343854
-18043.951977,90,229.529042
-5555.493451,93,229.714972
-15555.679924,82,229.889467
