#{"t_start": 1759987025.400487, "env_id": "CustomLunarLander-v0"}
r,l,t
-21250.310959,86,0.734714
-7968.707388,124,0.997413
-9073.531382,86,1.169297
-8751.68583,103,1.375478
-15709.201037,99,1.572642
-28690.562546,101,1.771439
-9621.58342,89,1.944211
-29677.302177,105,2.149893
-17305.289979,93,2.330953
-8237.524119,103,2.529986
-1875200.528498,1000,4.537782
-29388.076319,110,15.608706
-27190.110521,98,15.809462
-10686.15022,102,16.011362
-40323.518485,118,16.243941
-28885.521969,103,16.444004
-17392.393739,88,16.617296
-23055.993902,85,16.782133
-27316.791841,97,16.966804
-6103.62343,95,17.150178
-17682.514451,95,17.330827
-19202.708548,123,17.567133
-18523.898352,124,17.824108
-4879.047328,97,18.017799
-6748.247147,127,18.266197
-20609.101858,95,18.459967
-53889.365315,143,18.75031
-16618.186788,108,18.968757
-28102.516678,102,19.175449
-22640.004177,115,19.411094
-9904.547027,93,30.563216
-13823.496554,96,30.748681
-9344.512144,109,30.961742
-5008.944101,88,31.143209
-9850.834077,99,31.346972
-35776.931414,107,31.558886
-7945.642349,100,31.758077
-28686.845431,105,31.969369
-5014.027586,86,32.139328
-7309.736528,100,32.340652
-19158.042034,118,32.577231
-56039.546817,138,32.871424
-20078.668408,103,33.077177
-14873.722776,112,33.300654
-7605.749079,82,33.47328
-15377.522067,114,33.704632
-16547.088865,103,33.909973
-27985.40485,97,34.112311
-30386.253048,99,34.313013
-18165.564869,104,34.531666
-6560.729405,94,45.617306
-19691.556796,94,45.800583
-9856.003774,87,45.975867
-3758.854875,98,46.167151
-23034.187135,85,46.339081
-28787.326564,132,46.597842
-13476.407975,91,46.789223
-6428.971862,111,47.024659
-10628.585682,122,47.269102
-30549.373336,117,47.507807
-21287.266278,97,47.701684
-16187.330131,93,47.89102
-16976.419803,87,48.064949
-16781.587805,95,48.256561
-12170.470279,101,48.471845
-13488.377008,119,48.716557
-24475.768855,91,48.907384
-18858.693075,100,49.109095
-9007.601657,95,49.299441
-12555.887578,88,49.472363
-17438.388011,78,49.624969
-27336.868083,108,60.737981
-7093.828746,91,60.917001
-14294.768568,97,61.113361
-17374.961831,104,61.320478
-13342.026946,113,61.549372
-32852.769111,119,61.791875
-16108.111953,86,61.964164
-6389.107325,112,62.186041
-7651.671094,115,62.435066
-14648.021408,133,62.694366
-29785.80758,98,62.88549
-9297.316067,91,63.065259
-7258.46329,99,63.264715
-23482.356424,107,63.48251
-27477.966357,93,63.675153
-15151.643432,107,63.899583
-22478.875872,88,64.098095
-11382.69919,94,64.283132
-40235.816122,123,64.540026
-26471.230234,105,64.752134
-14424.993198,94,75.82671
-7244.821392,106,76.036414
-6753.892678,90,76.213076
-7507.471134,105,76.42234
-9869.995477,115,76.667102
-28293.47673,102,76.886277
-28321.629653,121,77.136263
-4613.759416,81,77.311695
-6860.48886,96,77.505769
-8765.271781,88,77.694098
-13154.756093,91,77.900596
-6099.634921,103,78.114754
-5866.299739,84,78.278949
-16487.125193,93,78.462701
-15510.163186,92,78.65241
-11600.482886,94,78.84904
-7643.350605,92,79.023453
-10212.839373,102,79.222639
-9825.418226,126,79.460479
-26455.562313,126,79.717034
-19691.685934,130,90.765874
-6833.796052,87,90.953096
-21800.814841,109,91.167738
-32188.254349,105,91.374517
-33852.211363,106,91.584394
-14293.545833,114,91.819156
-1655.990646,74,91.967634
-22471.63274,90,92.149103
-21025.147721,113,92.391892
-20054.508116,108,92.612672
-25664.709187,100,92.805566
-12646.521546,82,92.966163
-3750.318761,108,93.177511
-13106.652989,119,93.417795
-32727.60021,103,93.621735
-8484.81045,105,93.833137
-10430.059295,91,94.024438
-7969.844929,84,94.208319
-9185.889932,82,94.38488
-15935.642209,103,94.621873
-7218.136435,86,94.794042
-21224.49457,98,105.830678
-14391.289609,84,106.016504
-10311.859108,98,106.228612
-31221.59697,117,106.477765
-15984.668808,88,106.668163
-37865.413824,130,106.924845
-28530.627522,98,107.112747
-38701.498917,119,107.348023
-17463.777222,99,107.546894
-11716.885814,103,107.744395
-13419.351166,85,107.915232
-31976.959682,103,108.129851
-27293.230129,96,108.321915
-19142.26073,108,108.5467
-2127.536415,83,108.727753
-26456.306449,99,108.925623
-18451.680084,98,109.127684
-15450.027886,103,109.340573
-8842.318259,132,109.606917
-14039.374503,105,109.811336
-14622.489101,99,120.814758
-13795.429387,93,121.0079
-5852.652004,117,121.255018
-7377.676673,103,121.479252
-6669.083661,99,121.699957
-5510.938423,94,121.884947
-22037.255978,87,122.063138
-50392.516156,140,122.353609
-19311.58579,116,122.616672
-19282.673472,93,122.816046
-17565.578657,85,122.980055
-6066.621119,88,123.170826
-10950.434505,117,123.425771
-11954.813895,88,123.604248
-38025.232941,127,123.869379
-22075.519362,100,124.090563
-54610.243413,143,124.38128
-22501.942321,115,124.614499
-21129.130075,117,124.861928
-10582.544818,101,135.858806
-9414.871266,110,136.075114
-21740.356042,111,136.284896
-19345.027678,91,136.468488
-61032.951593,140,136.745136
-13570.103117,89,136.929911
-22055.886463,88,137.106615
-37701.604495,121,137.375372
-24099.898008,95,137.57261
-23032.721684,101,137.818689
-7032.514863,104,138.082032
-20740.516749,93,138.273064
-5377.154041,108,138.489637
-6324.864315,83,138.659507
-6542.991669,83,138.827428
-58107.177665,156,139.148668
-22555.508006,88,139.322044
-35344.235578,103,139.539175
-24079.231117,115,139.763274
-25407.05692,117,150.887977
-16299.745393,82,151.04746
-12562.026987,97,151.240783
-4577.097114,77,151.397461
-18218.577947,93,151.580051
-30534.68176,108,151.795979
-5747.932451,112,152.018109
-4302.645193,82,152.177171
-12051.541864,89,152.354517
-11563.493825,86,152.524339
-27353.157422,108,152.75004
-23090.55351,99,152.938895
-28548.822461,99,153.131952
-36967.157435,115,153.356717
-13830.726792,79,153.510489
-5946.189819,93,153.691378
-15447.152563,94,153.870609
-33602.30815,117,154.0988
-34664.392554,109,154.313192
-7728.404336,91,154.498093
-10907.359823,98,154.688944
-9978.721255,99,154.881183
