Metric,Base Mean,Fine Mean,Δ Improvement
format,0.9,1.0,0.09999999999999998
bounds,0.8,1.0,0.19999999999999996
trajectory,0.7619883480995648,0.9618918505621605,0.1999035024625957
weights,0.7051733484972689,0.9071716675059422,0.20199831900867338
reasoning,0.7,0.7,0.0
total,0.8029150044696399,0.9530955368630263,0.15018053239338636
