#{"t_start": 1760795558.312146, "env_id": "CustomLunarLander-v0"}
r,l,t
1.0,177,0.723655
1.0,1,0.726542
1.0,1,0.729959
-1.0,126,1.062059
-1.0,80,1.27034
1.0,1,1.273255
-1.0,142,1.653199
1.0,1,1.656635
1.0,1,1.659523
-1.0,80,1.882412
-1.0,88,2.117972
-1.0,58,2.272051
-1.0,90,2.502959
1.0,1,2.505989
-1.0,81,2.722099
1.0,1,2.725651
-1.0,50,2.86179
-1.0,44,2.976942
-1.0,116,3.938887
-1.0,80,4.658839
-1.0,88,5.453562
1.0,1,5.463225
-1.0,99,6.41736
1.0,89,7.270536
1.0,1,7.281219
1.0,1,7.293001
1.0,1,7.303302
1.0,1,7.314216
1.0,1,7.325906
1.0,1,7.336293
-1.0,80,8.09482
1.0,1,8.106259
-1.0,138,9.387489
-1.0,80,10.169772
1.0,1,10.180352
-1.0,95,11.041295
1.0,1,11.050688
-1.0,144,12.415462
-1.0,121,13.562509
-1.0,85,14.341333
1.0,1,14.350725
-1.0,76,15.034878
-1.0,69,15.663276
-1.0,143,16.979525
1.0,1,16.98988
-1.0,69,17.653805
-1.0,116,18.770566
1.0,1,18.780351
1.0,1,18.790101
-1.0,100,19.750065
1.0,1,19.759771
1.0,1,19.769977
-1.0,55,20.265827
-1.0,121,21.377885
1.0,1,21.387791
-1.0,183,23.069503
-1.0,103,24.041558
1.0,1,24.051611
1.0,1,24.061395
1.0,1,24.072465
-1.0,79,24.830698
-1.0,65,25.436357
-1.0,117,26.52124
1.0,1,26.530771
-1.0,97,27.431253
1.0,1,27.440796
1.0,1,27.450899
-1.0,107,28.427654
1.0,1,28.437629
1.0,1,28.447656
1.0,1,28.457874
-1.0,100,29.408891
1.0,100,30.35286
1.0,1,30.362652
-1.0,100,31.355584
1.0,1,31.365468
-1.0,60,31.947757
-1.0,109,32.996539
1.0,1,33.006843
-1.0,72,33.674262
-1.0,79,34.404335
-1.0,119,35.498065
-1.0,81,36.244985
1.0,1,36.254796
1.0,1,36.265131
