#{"t_start": 1760795558.3104625, "env_id": "CustomLunarLander-v0"}
r,l,t
1.0,1,0.265943
-1.0,178,0.731083
1.0,1,0.734395
1.0,1,0.737274
-1.0,97,0.989627
-1.0,111,1.282676
-1.0,95,1.541346
-1.0,95,1.804294
-1.0,138,2.170513
1.0,1,2.173419
-1.0,121,2.486361
-1.0,107,2.772574
1.0,1,2.775587
-1.0,85,3.003769
-1.0,124,4.095865
1.0,1,4.105595
1.0,1,4.115426
-1.0,92,4.941369
1.0,1,4.951066
-1.0,87,5.745326
-1.0,127,6.975391
1.0,1,6.985546
1.0,1,6.995744
1.0,1,7.006592
-1.0,76,7.737897
-1.0,66,8.358807
1.0,1,8.369173
1.0,1,8.379082
-1.0,69,9.005414
1.0,1,9.016192
-1.0,111,10.09477
-1.0,117,11.165286
1.0,1,11.175163
-1.0,127,12.37493
1.0,1,12.385214
-1.0,74,13.096576
-1.0,126,14.259329
1.0,1,14.269196
-1.0,136,15.496947
1.0,1,15.50688
-1.0,119,16.59377
1.0,1,16.603417
1.0,1,16.614604
-1.0,113,17.694617
-1.0,117,18.820002
1.0,1,18.830435
1.0,1,18.840142
1.0,1,18.850065
1.0,1,18.859888
-1.0,169,20.452522
-1.0,82,21.203028
-1.0,132,22.414467
-1.0,109,23.423002
1.0,1,23.432616
1.0,1,23.442071
-1.0,120,24.583468
-1.0,143,25.923096
-1.0,117,26.997762
-1.0,253,29.356558
-1.0,173,31.01089
1.0,1,31.022682
-1.0,87,31.890999
1.0,189,33.686336
1.0,1,33.696457
-1.0,85,34.47853
-1.0,161,35.95296
1.0,1,35.962412
-1.0,99,36.920426
-1.0,268,39.46427
1.0,1,39.473759
-1.0,51,39.932708
-1.0,50,40.402398
-1.0,113,41.446373
-1.0,73,42.159163
-1.0,208,44.092518
-1.0,51,44.555955
1.0,1,44.565352
1.0,1,44.574969
-1.0,101,45.486338
1.0,1,45.496816
-1.0,97,46.429541
1.0,1,46.439187
1.0,1,46.448421
-1.0,154,47.88193
1.0,1,47.892061
1.0,1,47.902133
-1.0,82,48.667643
1.0,1,48.679012
-1.0,51,49.146309
1.0,1,49.156563
-1.0,92,50.023249
-1.0,119,51.116505
-1.0,162,52.700967
-1.0,91,53.549976
1.0,61,54.106128
-1.0,89,54.936178
1.0,1,54.946657
1.0,1,54.961502
1.0,1,54.972029
1.0,1,54.98296
-1.0,122,56.13725
1.0,1,56.147975
1.0,1,56.158573
1.0,1,56.1687
-1.0,129,57.379214
1.0,1,57.389456
-1.0,127,58.592729
1.0,1,58.602985
1.0,1,58.61407
1.0,1,58.624253
-1.0,102,59.58517
-1.0,58,60.109493
1.0,1,60.119324
-1.0,205,62.025443
1.0,1,62.036465
1.0,1,62.047189
1.0,1,62.057384
-1.0,92,62.904353
1.0,1,62.914616
-1.0,154,64.361455
-1.0,49,64.837129
-1.0,133,66.028691
-1.0,243,68.222465
-1.0,188,69.975035
-1.0,537,74.846145
-1.0,145,76.143571
1.0,1,76.153241
1.0,1,76.163263
-1.0,84,76.910601
-1.0,166,78.411342
1.0,432,82.454544
1.0,1,82.465252
1.0,1,82.475862
1.0,462,86.724912
-1.0,532,91.594579
1.0,1,91.60622
