#{"t_start": 1759560880.5626295, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,116,1.286292
-1.0,123,1.600119
-1.0,77,1.793162
-1.0,70,1.969511
-1.0,84,2.179475
-1.0,66,2.345498
-1.0,62,2.505626
-1.0,98,2.758566
-1.0,115,3.057464
1.0,130,3.382213
1.0,6,3.398482
-1.0,137,4.2984
-1.0,127,5.457055
-1.0,87,6.26642
-1.0,107,7.234046
-1.0,74,7.899917
-1.0,71,8.57279
-1.0,70,9.233409
-1.0,97,10.167731
-1.0,94,11.040866
-1.0,202,12.922954
-1.0,129,14.115185
-1.0,107,15.149467
-1.0,135,16.39654
-1.0,95,17.319921
-1.0,81,18.144347
-1.0,88,18.960581
-1.0,76,19.675529
-1.0,108,20.682308
-1.0,82,21.482394
-1.0,76,22.194874
1.0,28,22.46295
-1.0,134,23.719449
1.0,58,24.258692
-1.0,90,25.117053
-1.0,111,26.173933
-1.0,84,26.988709
-1.0,73,27.681259
-1.0,86,28.459358
-1.0,174,30.096414
-1.0,86,30.885105
-1.0,109,31.887943
1.0,41,32.258414
1.0,12,32.369051
-1.0,102,33.305977
-1.0,87,34.11975
-1.0,75,34.838894
-1.0,124,35.98122
-1.0,70,36.634639
-1.0,85,37.416207
-1.0,95,38.320706
-1.0,105,39.330063
-1.0,89,40.190993
-1.0,91,41.036793
-1.0,173,42.620617
-1.0,117,43.698474
-1.0,78,44.465662
-1.0,93,45.367298
-1.0,99,46.311621
-1.0,95,47.170218
-1.0,85,47.941964
-1.0,136,49.236523
-1.0,98,50.173536
-1.0,94,51.030211
1.0,76,51.744692
-1.0,113,52.852176
-1.0,158,54.368462
-1.0,106,55.364357
-1.0,99,56.297521
-1.0,128,57.469205
-1.0,68,58.126224
-1.0,149,59.584877
-1.0,82,60.331886
-1.0,125,61.616355
-1.0,82,62.372364
-1.0,91,63.23606
-1.0,102,64.218632
-1.0,119,65.360148
-1.0,113,66.460244
-1.0,104,67.498011
-1.0,125,68.720387
-1.0,89,69.586026
-1.0,102,70.564836
-1.0,69,71.233546
-1.0,82,71.984628
-1.0,150,73.346109
