#{"t_start": 1759560880.5578218, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,141,1.351283
-1.0,139,1.707278
-1.0,125,2.022542
-1.0,89,2.24212
-1.0,75,2.431596
-1.0,78,2.634722
-1.0,113,2.929955
-1.0,92,3.164953
-1.0,76,3.35394
1.0,79,3.552592
-1.0,106,4.560584
-1.0,79,5.285317
-1.0,128,6.475458
-1.0,103,7.397568
-1.0,97,8.290492
-1.0,113,9.36905
1.0,85,10.182608
-1.0,138,11.46175
-1.0,103,12.421787
1.0,49,12.882557
-1.0,145,14.222858
1.0,66,14.848846
-1.0,78,15.593979
-1.0,105,16.563262
-1.0,75,17.302387
-1.0,97,18.282989
-1.0,76,18.983959
-1.0,137,20.267313
-1.0,72,20.948612
-1.0,113,22.03438
-1.0,73,22.72793
-1.0,122,23.863467
-1.0,121,25.000991
-1.0,107,26.025907
-1.0,103,27.023283
-1.0,78,27.759247
-1.0,123,28.876164
-1.0,98,29.792603
-1.0,77,30.520066
-1.0,92,31.369419
-1.0,104,32.316202
-1.0,85,33.088199
-1.0,106,34.085191
1.0,63,34.69975
-1.0,86,35.492687
-1.0,99,36.410753
-1.0,73,37.080474
-1.0,124,38.244015
-1.0,119,39.393233
-1.0,97,40.327492
-1.0,101,41.269399
-1.0,135,42.493031
-1.0,98,43.39612
-1.0,70,44.066711
-1.0,75,44.785178
-1.0,115,45.910382
-1.0,104,46.861049
-1.0,102,47.789886
1.0,88,48.614616
-1.0,154,50.072477
1.0,1,50.083048
-1.0,91,50.934972
1.0,99,51.864395
-1.0,87,52.712592
-1.0,57,53.270523
-1.0,138,54.602103
-1.0,104,55.577757
-1.0,85,56.368846
-1.0,64,56.951509
-1.0,142,58.298441
-1.0,126,59.527187
-1.0,121,60.660802
-1.0,99,61.685994
-1.0,100,62.608434
-1.0,84,63.423905
-1.0,82,64.201674
-1.0,77,64.936011
-1.0,106,65.973219
-1.0,87,66.818473
-1.0,91,67.735624
-1.0,127,68.968273
1.0,40,69.354592
-1.0,142,70.741571
-1.0,96,71.63554
-1.0,88,72.439582
-1.0,90,73.247294
-1.0,144,74.568961
-1.0,212,76.565327
-1.0,154,78.160276
-1.0,135,79.495831
-1.0,121,80.721133
-1.0,101,81.732655
-1.0,97,82.689864
-1.0,74,83.444332
-1.0,92,84.454593
-1.0,154,86.076922
-1.0,111,87.171285
-1.0,87,88.028591
-1.0,106,89.103664
