#{"t_start": 1761201047.2467382, "env_id": "CustomLunarLander-v0"}
r,l,t
-1001.040297,143,1.238442
-996.86973,137,1.83369
-1002.057956,91,2.238551
-999.718077,128,2.801042
-1001.924766,82,3.177879
-999.786501,101,3.618237
-999.253957,128,4.218368
-1001.983167,75,4.550265
-1000.381851,86,4.955247
-998.209865,87,5.338256
-1003.349655,98,5.771886
-1001.104298,85,6.16766
-1000.144757,96,6.574549
-1000.123438,99,7.039642
-1001.479558,100,7.470038
-1001.144996,82,7.808959
-1001.681438,135,8.419928
-999.431882,123,8.96092
-1002.163261,112,9.463992
-1001.199518,107,21.262469
-999.596784,84,21.646139
-1000.982598,86,21.986004
-1000.822892,116,22.500422
-1000.443563,102,22.934995
-998.990356,73,23.250408
-1000.5807,98,23.688465
-1000.301986,95,24.092053
-998.251714,70,24.393564
-1001.038718,106,24.855284
-1000.526885,87,25.239362
-1000.729105,99,25.662134
-999.268345,133,26.232882
-1001.886115,140,26.822454
-1001.218527,133,27.432837
-1000.348296,91,27.82823
-1001.146367,139,28.469776
-998.748673,127,29.025539
-999.694965,97,29.448583
-999.211539,114,29.938922
