#{"t_start": 1759992399.1929834, "env_id": "CustomLunarLander-v0"}
r,l,t
1.247953,98,0.753512
1.644333,106,0.963325
-2.174832,105,1.165874
0.027076,108,1.373247
0.015402,87,1.537794
3.30487,85,1.699385
-3.128581,109,1.909085
-1.643559,101,2.11393
0.376144,104,2.306227
-0.022798,126,2.541045
-2.538872,86,2.702869
1.447411,118,2.922066
-1.935399,110,3.130627
0.811445,99,3.316533
-2.164865,96,3.492934
-0.586951,123,3.734915
2.45857,82,3.899141
-1.746737,109,4.122759
1.650747,94,4.316236
1.584065,128,15.408911
3.741514,101,15.611021
-0.600286,102,15.823511
1.305153,100,16.018878
0.17774,111,16.234983
1.645132,110,16.452352
1.34596,108,16.663615
2.16659,94,16.846574
3.390587,87,17.00889
-0.12412,97,17.189068
0.574905,100,17.380316
1.518794,98,17.568096
2.226343,102,17.761799
1.699518,91,17.934777
1.476828,95,18.115727
-1.056594,103,18.312891
2.913258,89,18.48077
1.823925,120,18.731361
2.308078,90,18.901766
1.341122,94,19.079568
0.613025,110,19.286253
1.379273,92,30.405179
2.414019,98,30.593273
-1.113704,112,30.822511
3.176322,109,31.029467
-1.226924,121,31.254831
2.73015,95,31.434628
-0.351511,93,31.611873
3.34505,97,31.793912
-0.905859,127,32.030199
-0.469939,94,32.207793
0.698422,105,32.409946
-1.001613,102,32.619035
4.127768,94,32.825945
1.662525,91,32.995694
1.238649,87,33.159099
-1.055764,101,33.350821
3.25646,90,33.526616
-1.120316,119,33.753607
2.361331,97,33.9333
1.85435,103,34.128231
1.417152,93,45.244984
2.824444,90,45.416345
0.81924,91,45.591524
-0.907488,108,45.793901
-0.72861,109,46.001363
0.529747,106,46.206384
2.698657,78,46.357425
3.709063,88,46.527355
1.377315,90,46.709108
0.279616,88,46.884732
0.760577,83,47.045254
1.167077,93,47.225819
4.921318,74,47.368123
3.286341,84,47.538569
1.733105,89,47.71131
3.539197,90,47.888247
0.879656,94,48.072723
3.260855,81,48.232784
-0.065625,104,48.436058
3.425993,86,48.605673
2.112159,92,48.795155
3.176882,90,48.969406
-0.866935,81,49.132725
-0.270067,109,60.353121
4.426305,75,60.498464
0.129566,94,60.69395
3.771963,73,60.836715
0.416356,88,61.008145
0.1744,85,61.172422
2.003774,78,61.323035
-0.735885,84,61.483812
-0.804009,85,61.64707
3.665104,69,61.785831
0.94163,93,61.967914
4.149356,101,62.168442
4.216627,84,62.336796
3.957935,74,62.494663
-0.325659,102,62.690727
2.555504,80,62.848815
1.043769,95,63.035784
0.037542,87,63.202146
1.959005,80,63.356955
4.136976,87,63.525293
0.621815,92,63.705802
-0.679002,99,63.900277
-0.596612,126,64.148424
3.836424,86,75.267018
0.591651,90,75.444309
0.590633,103,75.646617
-1.131289,167,75.968198
1.195141,80,76.137981
0.956998,80,76.292036
-0.609734,120,76.526454
3.988756,74,76.668231
0.235738,94,76.84912
4.502486,76,76.995565
4.34526,77,77.143036
1.580166,90,77.316796
3.543667,81,77.473662
-1.105536,150,77.759111
4.164297,72,77.897906
2.954878,84,78.069893
3.709394,73,78.208678
0.408049,85,78.373262
2.079002,82,78.532981
2.161292,75,78.676316
3.006231,75,78.826442
