#{"t_start": 1759988801.9596047, "env_id": "CustomLunarLander-v0"}
r,l,t
-2.392839,98,0.748277
-1.10599,125,0.986805
0.128375,132,1.268546
0.138924,135,1.536031
2.628976,107,1.757686
2.040165,94,1.946741
-0.454665,82,2.108464
2.306966,102,2.298373
0.199158,123,2.530851
0.201613,135,2.782656
-2.369319,99,2.978202
-1.868218,106,3.187848
1.887786,91,3.364211
-0.216074,119,3.597945
0.384892,88,3.771337
1.452661,105,3.990047
0.502713,84,4.156353
2.752213,98,4.358736
-0.178821,116,4.594507
