#{"t_start": 1759988801.9547155, "env_id": "CustomLunarLander-v0"}
r,l,t
1.556129,94,0.742979
-0.008119,136,1.008848
-2.268828,89,1.197771
2.611449,89,1.375277
3.296176,91,1.557539
2.318411,96,1.757453
-0.061588,111,1.979692
0.130249,125,2.218171
-1.607266,126,2.457349
1.297701,127,2.696113
2.277986,108,2.903203
0.667764,113,3.128877
1.488321,131,3.382472
2.441975,89,3.557361
1.778191,114,3.781947
-0.339173,100,3.990075
-1.697345,94,4.178571
-4.21507,83,4.34362
2.841412,118,4.588902
