#{"t_start": 1759988801.947044, "env_id": "CustomLunarLander-v0"}
r,l,t
0.336251,98,0.758443
-1.37597,98,0.943033
-1.038216,93,1.142446
-0.251083,112,1.368238
1.856129,118,1.606219
-0.121775,121,1.857211
0.276325,91,2.036998
-1.315118,111,2.246367
0.248324,121,2.476687
-0.72401,93,2.65126
1.510261,83,2.806004
0.147621,106,3.014741
0.146704,107,3.225763
2.273188,109,3.439454
-1.316542,93,3.621747
-0.757704,100,3.817903
0.799148,126,4.079111
-0.06988,103,4.281941
-1.464623,98,4.489064
