#{"t_start": 1759563022.8139665, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,121,1.247427
-1.0,93,1.487073
1.0,87,1.705348
1.0,85,1.917181
1.0,64,2.076248
-1.0,90,2.302317
-1.0,87,2.518064
1.0,31,2.595911
-1.0,115,2.893418
-1.0,73,3.078984
-1.0,109,3.354114
-1.0,76,3.544213
1.0,76,4.19423
-1.0,64,4.603132
-1.0,57,4.987389
-1.0,71,5.451182
-1.0,80,5.964743
1.0,48,6.275308
-1.0,58,6.652766
1.0,19,6.775949
-1.0,59,7.153241
-1.0,57,7.553587
-1.0,57,7.987977
-1.0,84,8.592229
-1.0,49,8.90233
-1.0,49,9.207596
-1.0,82,9.713903
-1.0,66,10.119825
-1.0,51,10.4287
-1.0,73,10.886041
-1.0,83,11.387923
-1.0,53,11.733902
1.0,21,11.862477
-1.0,69,12.291816
-1.0,51,12.603262
-1.0,65,13.009499
1.0,43,13.27755
-1.0,61,13.649329
-1.0,57,13.996601
-1.0,54,14.329222
1.0,45,14.604647
-1.0,65,15.015732
-1.0,76,15.492571
1.0,48,15.78805
1.0,40,16.034446
1.0,43,16.299516
-1.0,50,16.604605
1.0,22,16.740667
-1.0,71,17.198786
-1.0,75,17.659608
1.0,47,17.96779
-1.0,48,18.280009
1.0,1,18.286216
-1.0,75,18.773207
-1.0,60,19.14348
-1.0,75,19.612491
-1.0,68,20.031348
-1.0,68,20.445881
1.0,49,20.746341
-1.0,59,21.10673
-1.0,72,21.547202
-1.0,73,22.000282
1.0,35,22.210382
1.0,55,22.549978
1.0,36,22.771104
-1.0,80,23.275492
1.0,37,23.500723
-1.0,55,23.836725
-1.0,73,24.278627
1.0,39,24.51628
1.0,82,25.012804
-1.0,74,25.487299
-1.0,75,25.964745
-1.0,55,26.306928
1.0,3,26.325212
-1.0,65,26.740405
1.0,66,27.150107
1.0,1,27.15574
-1.0,52,27.48142
-1.0,55,27.815857
-1.0,49,28.115092
-1.0,60,28.476822
-1.0,75,28.93882
-1.0,63,29.324208
-1.0,58,29.674598
-1.0,79,30.152747
-1.0,70,30.575449
-1.0,70,31.026817
1.0,32,31.225205
-1.0,59,31.587112
1.0,32,31.787272
-1.0,83,32.304848
-1.0,81,32.809544
-1.0,79,33.307616
1.0,35,33.525361
1.0,14,33.611475
-1.0,58,33.980413
1.0,18,34.091416
-1.0,76,34.581558
-1.0,65,34.986144
1.0,44,35.257922
-1.0,59,35.623662
-1.0,55,35.9778
-1.0,50,36.301437
-1.0,64,36.698895
-1.0,73,37.155832
-1.0,84,37.677136
-1.0,83,38.18835
1.0,49,38.482542
-1.0,82,39.003532
-1.0,64,39.39908
-1.0,53,39.724621
-1.0,54,40.073163
-1.0,64,40.508872
1.0,33,40.718745
-1.0,57,41.093776
-1.0,84,41.667832
-1.0,74,42.190067
-1.0,64,42.591686
1.0,48,42.90151
-1.0,50,43.234482
-1.0,62,43.634625
1.0,41,43.897642
-1.0,62,44.303219
-1.0,74,44.785719
-1.0,59,45.18091
-1.0,121,45.951405
-1.0,63,46.35468
-1.0,65,46.778825
-1.0,75,47.268651
-1.0,65,47.666235
-1.0,76,48.13239
1.0,40,48.383456
1.0,4,48.407306
1.0,42,48.686835
-1.0,75,49.178404
-1.0,63,49.58241
-1.0,57,49.948926
-1.0,79,50.426178
-1.0,69,50.847934
1.0,29,51.023774
-1.0,58,51.381177
-1.0,76,51.860157
-1.0,47,52.173075
-1.0,66,52.605505
1.0,10,52.668168
-1.0,74,53.151226
1.0,51,53.482586
-1.0,50,53.796736
-1.0,60,54.180118
