#{"t_start": 1759563022.8147516, "env_id": "CustomLunarLander-v0"}
r,l,t
1.0,71,1.115759
-1.0,79,1.322412
-1.0,127,1.643275
-1.0,90,1.865869
-1.0,79,2.064894
-1.0,79,2.264156
1.0,19,2.311327
-1.0,77,2.50194
-1.0,117,2.804486
-1.0,85,3.018265
-1.0,95,3.260514
-1.0,72,3.439944
-1.0,97,4.066056
-1.0,55,4.416382
-1.0,52,4.759223
-1.0,75,5.257488
-1.0,59,5.634911
-1.0,64,6.047346
-1.0,56,6.411871
-1.0,66,6.838741
1.0,30,7.032168
-1.0,63,7.435246
1.0,75,8.030413
-1.0,75,8.561851
-1.0,72,9.021353
-1.0,64,9.41907
-1.0,68,9.836709
1.0,54,10.168742
-1.0,63,10.556027
-1.0,57,10.909485
-1.0,77,11.374851
-1.0,51,11.708445
-1.0,72,12.151658
1.0,52,12.472506
-1.0,50,12.779069
-1.0,71,13.227892
-1.0,72,13.667672
-1.0,60,14.033587
-1.0,85,14.556394
1.0,44,14.825819
-1.0,74,15.297441
1.0,35,15.516845
-1.0,80,16.009804
-1.0,63,16.394897
-1.0,56,16.740526
1.0,2,16.752855
1.0,15,16.845255
-1.0,74,17.320097
-1.0,58,17.679504
1.0,56,18.050189
-1.0,83,18.572854
1.0,14,18.676355
-1.0,60,19.051757
-1.0,117,19.780125
-1.0,77,20.249589
-1.0,62,20.630056
1.0,27,20.795704
-1.0,75,21.255881
1.0,58,21.608886
1.0,50,21.91584
-1.0,61,22.291133
-1.0,76,22.757866
-1.0,57,23.117741
-1.0,64,23.51247
-1.0,81,24.006926
-1.0,65,24.402706
-1.0,77,24.86811
-1.0,67,25.279626
-1.0,61,25.679405
-1.0,49,25.989593
-1.0,47,26.282086
-1.0,65,26.695845
-1.0,66,27.105666
1.0,58,27.468357
-1.0,66,27.872442
-1.0,65,28.265142
-1.0,61,28.634897
-1.0,56,28.979737
-1.0,75,29.438441
-1.0,72,29.874452
-1.0,84,30.382485
-1.0,52,30.716203
-1.0,49,31.017543
1.0,62,31.402194
-1.0,70,31.834873
-1.0,62,32.223547
-1.0,51,32.545911
1.0,36,32.765753
-1.0,79,33.259907
-1.0,77,33.743667
-1.0,64,34.149554
-1.0,66,34.575252
-1.0,81,35.078577
-1.0,62,35.459923
-1.0,56,35.809904
1.0,75,36.301308
-1.0,59,36.665155
-1.0,76,37.142161
-1.0,93,37.723364
-1.0,52,38.037956
1.0,1,38.043328
-1.0,77,38.512658
-1.0,70,38.960407
-1.0,53,39.282705
-1.0,88,39.829971
1.0,32,40.033418
-1.0,72,40.528095
-1.0,58,40.898537
1.0,55,41.286827
1.0,9,41.345241
-1.0,71,41.824173
1.0,25,41.986797
-1.0,72,42.47173
-1.0,78,42.97661
-1.0,68,43.419513
-1.0,59,43.804608
1.0,1,43.81084
-1.0,59,44.193619
1.0,67,44.628219
-1.0,59,45.027006
-1.0,52,45.367725
-1.0,71,45.813211
1.0,69,46.256676
-1.0,58,46.617728
-1.0,58,47.007043
-1.0,68,47.442276
