#{"t_start": 1760854399.798915, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,80,1.141685
-1.0,62,1.293637
-1.0,121,1.589023
-1.0,91,1.811058
-1.0,81,2.004179
-1.0,88,2.218976
-1.0,93,2.445902
-1.0,93,2.67381
-1.0,164,3.084763
-1.0,225,4.262629
-1.0,129,5.464227
-1.0,120,6.565333
-1.0,95,7.412893
-1.0,93,8.227098
-1.0,108,9.183275
-1.0,88,9.998526
-1.0,132,11.20164
-1.0,62,11.754242
-1.0,118,12.833278
-1.0,139,14.091065
-1.0,140,15.381626
-1.0,130,16.568102
-1.0,123,17.707839
-1.0,95,18.572908
-1.0,90,19.411768
-1.0,164,20.878122
-1.0,197,22.702935
-1.0,86,23.460055
-1.0,282,26.006777
-1.0,68,26.626426
-1.0,133,27.8171
-1.0,93,28.671247
-1.0,94,29.545488
-1.0,114,30.588397
-1.0,174,32.205731
-1.0,105,33.168228
-1.0,96,34.078281
-1.0,186,35.895442
-1.0,143,37.253617
-1.0,114,38.302632
-1.0,46,38.748549
-1.0,99,39.656731
-1.0,89,40.466943
-1.0,128,41.670248
-1.0,61,42.208071
-1.0,188,43.968916
-1.0,95,44.870812
-1.0,78,45.559329
-1.0,137,46.802062
-1.0,94,47.657799
-1.0,105,48.596014
-1.0,106,49.553806
-1.0,132,50.810245
-1.0,128,52.019382
-1.0,111,53.067048
-1.0,92,53.936711
-1.0,82,54.719855
-1.0,123,55.848372
-1.0,91,56.656281
-1.0,124,57.764249
-1.0,131,58.934369
-1.0,118,59.991558
-1.0,76,60.667989
-1.0,150,62.042518
-1.0,87,62.821403
-1.0,107,63.777637
-1.0,124,64.901546
-1.0,134,66.108008
-1.0,83,66.866111
-1.0,140,68.152428
-1.0,79,68.85685
-1.0,99,69.74943
-1.0,88,70.572394
-1.0,115,71.64149
-1.0,95,72.528769
-1.0,80,73.277989
-1.0,164,74.841977
-1.0,41,75.242638
-1.0,165,76.740685
-1.0,84,77.493083
-1.0,70,78.15041
-1.0,106,79.122464
-1.0,171,80.650804
-1.0,115,81.687765
-1.0,88,82.498875
-1.0,154,83.91642
-1.0,68,84.569302
-1.0,101,85.534916
-1.0,164,87.057146
-1.0,147,88.408257
-1.0,185,90.085266
-1.0,100,91.019279
-1.0,152,92.415158
-1.0,94,93.265381
-1.0,102,94.209312
-1.0,115,95.279204
-1.0,97,96.190368
-1.0,185,97.932726
-1.0,80,98.667336
-1.0,122,99.794687
-1.0,94,100.684416
-1.0,87,101.492262
-1.0,126,102.681197
-1.0,83,103.422304
-1.0,80,104.137889
-1.0,126,105.277257
-1.0,192,107.008745
-1.0,85,107.797005
-1.0,109,108.792577
-1.0,63,109.364776
-1.0,87,110.226065
-1.0,115,111.302185
-1.0,124,112.501792
-1.0,235,114.705913
-1.0,145,116.097487
-1.0,132,117.362253
-1.0,82,118.132163
-1.0,93,119.005033
-1.0,113,120.041737
-1.0,79,120.790195
-1.0,77,121.527667
-1.0,92,122.377283
-1.0,90,123.20877
-1.0,95,124.068
-1.0,86,124.849568
-1.0,65,125.454261
-1.0,95,126.378292
-1.0,77,127.100334
-1.0,100,128.062265
-1.0,76,128.787288
-1.0,264,131.250492
-1.0,106,132.285192
-1.0,207,134.23954
-1.0,249,136.544713
-1.0,83,137.317504
-1.0,82,138.103109
-1.0,91,138.963283
-1.0,60,139.517545
-1.0,109,140.516104
-1.0,46,140.949891
-1.0,90,141.771424
-1.0,98,142.669508
-1.0,51,143.164569
-1.0,80,143.932486
-1.0,188,145.687932
-1.0,108,146.693885
-1.0,85,147.505503
-1.0,78,148.240949
-1.0,73,148.928929
-1.0,205,150.866144
-1.0,120,152.01075
-1.0,31,152.297989
-1.0,113,153.362146
0.0,1000,162.761557
-1.0,61,163.351262
-1.0,108,164.380167
-1.0,72,165.066636
-1.0,69,165.709159
-1.0,66,166.312562
-1.0,143,167.639159
-1.0,77,168.357633
-1.0,82,169.12185
-1.0,95,170.014439
-1.0,62,170.578012
-1.0,88,171.384545
-1.0,91,172.234584
-1.0,78,172.945312
-1.0,120,174.089844
-1.0,107,175.123405
-1.0,86,175.947607
-1.0,280,178.571724
-1.0,105,179.541953
-1.0,114,180.623121
-1.0,134,181.858146
-1.0,283,184.464198
-1.0,87,185.285903
-1.0,83,186.05419
-1.0,126,187.201194
-1.0,73,187.870987
-1.0,113,188.903953
-1.0,78,189.627252
-1.0,85,190.401931
-1.0,359,193.799508
-1.0,162,195.342587
-1.0,94,196.232431
-1.0,151,197.664195
-1.0,44,198.077933
-1.0,101,199.037169
-1.0,108,200.04024
-1.0,60,200.595393
-1.0,70,201.259476
-1.0,126,202.457467
-1.0,79,203.222361
-1.0,105,204.236885
-1.0,103,205.229485
-1.0,70,205.8985
-1.0,100,206.823868
-1.0,79,207.551507
-1.0,101,208.505969
-1.0,101,209.486967
-1.0,96,210.400831
-1.0,92,211.257076
-1.0,86,212.056607
-1.0,63,212.673924
-1.0,159,214.172042
-1.0,72,214.855788
-1.0,120,216.011258
-1.0,98,216.925605
-1.0,89,217.78886
-1.0,95,218.699756
-1.0,91,219.53295
-1.0,80,220.289812
-1.0,73,220.979204
-1.0,267,223.455148
-1.0,66,224.063325
-1.0,111,225.088262
-1.0,122,226.213289
-1.0,125,227.391082
-1.0,106,228.380321
-1.0,91,229.246417
-1.0,108,230.265548
-1.0,83,231.067887
-1.0,81,231.818784
-1.0,94,232.692709
-1.0,64,233.291447
-1.0,83,234.052429
-1.0,105,235.039983
-1.0,88,235.851504
-1.0,98,236.792154
1.0,87,237.626752
-1.0,110,238.666413
-1.0,90,239.517369
-1.0,167,241.117804
-1.0,132,242.374138
-1.0,137,243.633489
-1.0,91,244.505194
-1.0,93,245.421406
-1.0,124,246.603841
-1.0,96,247.487643
-1.0,63,248.067845
-1.0,67,248.707998
-1.0,122,249.834992
-1.0,81,250.594209
-1.0,108,251.59185
-1.0,82,252.378667
-1.0,120,253.525022
-1.0,88,254.359795
-1.0,81,255.127189
-1.0,98,256.059367
-1.0,108,257.067457
-1.0,75,257.776763
-1.0,103,258.726189
-1.0,91,259.588362
-1.0,74,260.274425
-1.0,76,260.998575
-1.0,92,261.874636
-1.0,100,262.810708
-1.0,64,263.426224
-1.0,69,264.115104
-1.0,104,265.090435
-1.0,83,265.870851
-1.0,75,266.604005
-1.0,179,268.311334
-1.0,80,269.089822
-1.0,169,270.717087
-1.0,92,271.581795
-1.0,217,273.677248
-1.0,109,274.735838
-1.0,120,275.876203
-1.0,67,276.521825
-1.0,213,278.555634
-1.0,135,279.859803
-1.0,79,280.639544
-1.0,70,281.313331
-1.0,81,282.096808
-1.0,254,284.552884
-1.0,105,285.567945
-1.0,103,286.532024
-1.0,73,287.223219
-1.0,109,288.22235
-1.0,79,288.945168
-1.0,113,290.017245
-1.0,68,290.691319
-1.0,71,291.390498
-1.0,170,293.003966
-1.0,142,294.363131
-1.0,75,295.050911
-1.0,63,295.631821
-1.0,96,296.522183
-1.0,87,297.367736
-1.0,94,298.286993
-1.0,78,299.041019
-1.0,86,299.840703
-1.0,74,300.539397
-1.0,228,302.690446
-1.0,161,304.215708
-1.0,76,304.918313
-1.0,408,308.819045
-1.0,88,309.64057
-1.0,140,310.981994
-1.0,445,315.169944
-1.0,88,316.017049
-1.0,103,317.009924
-1.0,82,317.802488
-1.0,66,318.441769
-1.0,66,319.058731
-1.0,186,320.868332
-1.0,125,322.050785
-1.0,131,323.280957
-1.0,217,325.327366
-1.0,98,326.258618
-1.0,163,327.791915
-1.0,160,329.327008
-1.0,64,329.93549
-1.0,75,330.632138
-1.0,91,331.499687
-1.0,90,332.384072
