#{"t_start": 1760854399.7821963, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,115,1.244733
-1.0,142,1.588988
-1.0,85,1.797078
-1.0,135,2.121153
-1.0,94,2.352185
-1.0,102,2.602074
-1.0,95,2.835409
-1.0,115,3.124266
-1.0,88,3.338553
-1.0,84,3.890018
-1.0,82,4.650557
-1.0,106,5.619749
-1.0,121,6.73511
-1.0,82,7.463174
-1.0,252,9.696423
-1.0,106,10.681502
-1.0,131,11.863199
-1.0,94,12.725799
-1.0,111,13.711173
-1.0,115,14.782276
-1.0,96,15.664198
-1.0,105,16.620301
-1.0,200,18.455445
-1.0,77,19.183449
-1.0,94,20.017311
-1.0,76,20.70817
-1.0,149,22.046436
-1.0,124,23.203053
-1.0,130,24.349288
-1.0,147,25.692914
-1.0,131,26.885993
-1.0,104,27.813467
-1.0,152,29.22999
-1.0,110,30.224043
-1.0,152,31.63082
-1.0,74,32.3234
-1.0,95,33.193918
-1.0,115,34.286016
-1.0,134,35.594004
-1.0,127,36.827981
-1.0,127,38.004092
-1.0,44,38.401165
-1.0,99,39.335189
-1.0,143,40.641278
-1.0,46,41.097296
-1.0,92,41.924488
-1.0,80,42.63689
-1.0,146,44.022791
-1.0,75,44.73709
-1.0,104,45.663934
-1.0,211,47.582283
-1.0,140,48.830399
-1.0,72,49.486921
-1.0,68,50.145433
-1.0,85,50.947819
-1.0,116,52.034531
-1.0,128,53.238705
-1.0,83,54.035889
-1.0,135,55.295317
-1.0,110,56.287776
-1.0,79,56.993984
-1.0,93,57.824632
-1.0,94,58.66206
-1.0,86,59.432976
-1.0,135,60.637428
-1.0,82,61.372719
-1.0,75,62.076952
-1.0,63,62.637725
-1.0,101,63.54603
-1.0,79,64.269854
-1.0,123,65.370231
-1.0,84,66.123143
-1.0,115,67.169615
-1.0,86,67.955483
-1.0,107,68.926923
-1.0,149,70.285754
-1.0,91,71.139052
-1.0,194,72.941796
-1.0,94,73.82509
-1.0,133,75.10758
-1.0,164,76.607764
-1.0,89,77.411202
-1.0,103,78.36628
-1.0,110,79.369549
-1.0,57,79.884718
-1.0,91,80.693412
-1.0,136,81.922414
-1.0,194,83.708543
-1.0,141,85.058483
-1.0,98,85.975555
-1.0,109,86.989743
-1.0,90,87.829538
-1.0,80,88.548959
-1.0,174,90.12861
-1.0,70,90.782659
-1.0,118,91.881809
-1.0,143,93.163881
-1.0,143,94.500669
-1.0,70,95.1455
-1.0,180,96.828259
-1.0,105,97.826093
-1.0,101,98.755016
-1.0,96,99.636513
-1.0,141,100.969007
-1.0,117,102.050931
-1.0,188,103.779411
-1.0,127,104.928767
-1.0,90,105.734278
-1.0,209,107.64145
-1.0,85,108.423057
-1.0,111,109.428411
-1.0,81,110.231359
-1.0,83,111.002734
-1.0,108,112.049943
-1.0,422,116.042876
-1.0,110,117.086357
-1.0,69,117.762717
-1.0,106,118.72488
-1.0,100,119.681653
-1.0,129,120.879039
-1.0,101,121.845432
-1.0,88,122.643324
-1.0,229,124.740361
-1.0,162,126.279935
-1.0,90,127.125517
-1.0,73,127.827141
-1.0,275,130.410572
-1.0,113,131.476673
-1.0,78,132.245653
-1.0,87,133.063796
-1.0,217,135.101368
-1.0,280,137.70503
-1.0,87,138.529884
-1.0,105,139.51474
-1.0,145,140.851028
-1.0,97,141.741095
-1.0,75,142.42727
-1.0,98,143.35205
-1.0,81,144.14283
-1.0,99,145.06885
-1.0,87,145.869479
-1.0,99,146.796457
-1.0,69,147.451681
-1.0,121,148.596558
-1.0,69,149.25977
-1.0,75,149.979153
-1.0,85,150.763837
-1.0,85,151.561503
-1.0,67,152.201661
-1.0,112,153.249734
-1.0,90,154.090356
-1.0,75,154.786495
-1.0,71,155.449405
-1.0,134,156.754876
-1.0,62,157.328949
1.0,65,157.934414
-1.0,70,158.571658
-1.0,79,159.288162
-1.0,86,160.081681
-1.0,119,161.197666
-1.0,80,161.973906
-1.0,84,162.798235
-1.0,44,163.223857
-1.0,98,164.158507
-1.0,92,165.035599
-1.0,68,165.667333
-1.0,65,166.262857
-1.0,52,166.740328
-1.0,44,167.162341
-1.0,80,167.894578
-1.0,73,168.584139
-1.0,68,169.214135
-1.0,74,169.901477
-1.0,99,170.821662
-1.0,67,171.429313
-1.0,121,172.549503
-1.0,206,174.491776
-1.0,104,175.502259
-1.0,66,176.138265
-1.0,75,176.849226
-1.0,60,177.422549
-1.0,87,178.225041
-1.0,69,178.852893
-1.0,71,179.509125
-1.0,222,181.587158
-1.0,77,182.304934
-1.0,154,183.700518
-1.0,305,186.543751
-1.0,91,187.371782
-1.0,96,188.252739
-1.0,107,189.240674
-1.0,96,190.121212
-1.0,214,192.162784
-1.0,95,193.053488
-1.0,86,193.845938
-1.0,159,195.357815
-1.0,100,196.307226
-1.0,77,197.04248
-1.0,100,197.98628
-1.0,112,199.042494
-1.0,86,199.845763
-1.0,88,200.658967
