#{"t_start": 1760853174.3084643, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,189,2.765571
-1.0,72,3.452987
-1.0,96,4.409019
-1.0,78,5.18125
-1.0,103,6.199313
-1.0,93,7.11719
-1.0,120,8.301831
-1.0,77,9.045417
-1.0,180,10.802036
-1.0,114,12.784544
-1.0,97,14.186661
-1.0,96,15.69207
-1.0,84,17.049913
-1.0,124,19.032078
-1.0,82,20.342742
-1.0,113,22.217694
-1.0,77,23.406131
-1.0,97,24.873133
-1.0,105,26.485898
-1.0,97,28.025123
-1.0,175,30.715178
-1.0,86,32.082239
-1.0,102,33.706736
-1.0,107,35.458418
-1.0,79,36.726786
-1.0,49,37.494072
-1.0,91,38.911252
-1.0,214,42.12992
-1.0,70,43.151073
-1.0,72,44.248206
-1.0,80,45.506111
-1.0,199,48.541017
-1.0,186,51.421544
-1.0,85,52.740061
-1.0,104,54.321894
-1.0,124,56.198518
-1.0,153,58.529116
-1.0,171,61.19114
-1.0,122,63.097564
-1.0,105,64.662286
-1.0,135,66.760036
-1.0,76,67.928449
-1.0,151,70.235076
-1.0,94,71.681539
-1.0,114,73.465148
-1.0,86,74.86022
-1.0,159,77.358171
-1.0,80,78.594725
-1.0,154,80.985467
-1.0,132,83.034026
-1.0,101,84.5634
-1.0,137,86.737693
-1.0,74,87.89184
-1.0,88,89.21175
-1.0,74,90.360592
-1.0,62,91.291651
-1.0,71,92.396927
-1.0,97,93.859231
-1.0,104,95.451621
-1.0,97,96.95573
-1.0,95,98.387617
-1.0,115,100.143521
-1.0,66,101.145867
-1.0,87,102.495245
-1.0,100,104.077251
-1.0,47,104.782855
-1.0,79,106.010513
-1.0,107,107.754978
-1.0,64,108.725672
-1.0,72,109.813341
-1.0,85,111.105112
-1.0,144,113.327083
-1.0,229,117.150895
-1.0,79,118.401423
-1.0,144,120.757426
-1.0,128,122.884865
-1.0,56,123.79081
-1.0,127,125.780574
-1.0,144,127.948184
-1.0,109,129.637437
-1.0,167,132.218573
-1.0,75,133.394517
-1.0,157,135.917441
-1.0,63,136.909029
-1.0,197,139.978746
-1.0,141,142.204298
-1.0,68,143.263777
-1.0,44,143.966199
-1.0,104,145.648139
-1.0,89,147.072489
-1.0,124,149.02007
-1.0,122,150.960117
-1.0,135,153.108764
-1.0,101,154.715792
-1.0,106,156.412835
-1.0,51,157.214994
-1.0,382,163.188419
-1.0,81,164.443743
-1.0,82,165.736737
-1.0,88,167.115634
-1.0,77,168.407447
