#{"t_start": 1760892457.593513, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,77,0.162527
-1.0,109,0.379705
-1.0,86,0.541681
-1.0,87,0.710406
-1.0,140,0.976918
-1.0,65,1.102658
-1.0,125,1.339389
-1.0,134,1.594211
-1.0,78,1.742976
-1.0,89,1.912421
-1.0,67,2.039685
-1.0,80,2.193574
-1.0,81,2.348226
-1.0,119,2.57532
-1.0,78,2.723536
-1.0,100,2.918972
-1.0,128,3.162872
-1.0,130,3.409537
-1.0,149,3.696381
-1.0,102,3.902836
-1.0,73,15.060127
-1.0,76,15.205714
-1.0,128,15.450896
-1.0,98,15.6385
-1.0,107,15.846398
-1.0,140,16.11291
-1.0,116,16.333985
-1.0,87,16.499817
-1.0,141,16.76802
-1.0,161,17.072854
-1.0,115,17.295635
-1.0,113,17.51632
-1.0,71,17.656768
-1.0,165,17.972112
-1.0,82,18.127634
-1.0,85,18.290065
-1.0,87,18.455942
-1.0,66,18.583065
-1.0,94,18.762062
-1.0,106,30.003215
-1.0,111,30.219922
-1.0,80,30.376541
-1.0,74,30.522366
-1.0,83,30.6818
-1.0,99,30.870075
-1.0,86,31.034257
-1.0,99,31.225381
-1.0,75,31.367301
-1.0,100,31.560839
-1.0,83,31.717728
-1.0,97,31.902267
-1.0,106,32.104826
-1.0,124,32.342095
-1.0,77,32.490405
-1.0,113,32.705944
-1.0,71,32.840288
-1.0,120,33.074028
-1.0,107,33.279521
-1.0,79,33.427866
-1.0,75,33.573315
-1.0,99,33.762624
-1.0,84,45.080343
-1.0,100,45.274053
-1.0,132,45.526204
-1.0,88,45.695248
-1.0,107,45.901196
-1.0,116,46.126446
-1.0,132,46.383334
-1.0,92,46.559347
-1.0,135,46.822813
-1.0,93,46.999612
-1.0,119,47.232589
-1.0,119,47.459879
-1.0,83,47.618259
-1.0,89,47.78892
-1.0,93,47.966308
-1.0,106,48.171663
-1.0,220,48.593916
-1.0,116,48.817097
-1.0,131,60.123099
-1.0,149,60.432374
-1.0,103,60.632222
-1.0,84,60.7984
-1.0,119,61.035972
-1.0,124,61.276863
-1.0,147,61.569027
-1.0,94,61.75783
-1.0,173,62.0899
-1.0,267,62.599575
-1.0,85,62.762011
-1.0,90,62.935218
-1.0,88,63.107321
-1.0,75,63.257984
-1.0,79,63.409583
-1.0,102,63.603804
-1.0,128,63.854522
-1.0,108,75.095708
-1.0,120,75.322708
-1.0,81,75.478215
-1.0,166,75.790815
-1.0,107,75.995603
-1.0,183,76.344568
-1.0,579,77.447722
-1.0,122,77.682656
-1.0,189,78.040762
-1.0,119,78.265348
-1.0,98,78.452848
-1.0,94,78.631455
-1.0,456,90.825478
-1.0,152,91.111567
-1.0,267,91.6263
-1.0,235,92.071969
-1.0,116,92.291957
-1.0,170,92.61509
-1.0,433,93.455178
-1.0,56,93.567027
-1.0,456,105.554999
-1.0,572,106.635412
-1.0,309,107.214623
-1.0,418,108.003529
-1.0,331,108.629251
-1.0,240,109.084897
-1.0,257,120.5589
-1.0,306,121.13366
-1.0,180,121.472243
-1.0,290,122.015811
-1.0,152,122.301019
-1.0,213,122.701738
-1.0,250,123.169952
-1.0,1000,136.129698
-1.0,702,137.459111
-1.0,157,137.754516
-1.0,660,150.01023
-1.0,543,151.020828
-1.0,242,151.472478
-1.0,839,153.057663
-1.0,500,165.012008
-1.0,503,165.946875
-1.0,347,166.591361
-1.0,544,167.603114
-1.0,327,168.208737
-1.0,402,179.983616
-1.0,365,180.686789
