#{"t_start": 1759983676.0592782, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,102,0.77896
-1.0,107,1.005872
-1.0,94,1.19532
-1.0,101,1.415601
-1.0,112,1.651862
-1.0,105,1.874638
-1.0,383,2.689654
-1.0,109,2.922832
-1.0,100,3.133602
-1.0,94,3.329109
-1.0,102,3.541537
-1.0,100,3.75612
-1.0,118,4.011158
-1.0,107,4.235492
-1.0,107,4.465854
-1.0,116,4.724916
-1.0,101,15.865668
-1.0,99,16.075875
-1.0,86,16.257814
-1.0,112,16.492506
-1.0,90,16.68669
-1.0,95,16.890081
-1.0,98,17.097883
-1.0,137,17.397479
-1.0,146,17.706653
-1.0,103,17.925963
-1.0,93,18.125418
-1.0,103,18.34162
-1.0,127,18.607438
-1.0,116,18.856008
-1.0,117,19.103028
-1.0,93,19.3126
-1.0,111,19.549888
-1.0,87,19.734065
-1.0,84,19.915243
-1.0,84,20.093491
-1.0,135,31.459123
-1.0,102,31.677234
-1.0,105,31.912935
-1.0,109,32.144669
-1.0,109,32.378647
-1.0,109,32.608704
-1.0,86,32.793009
-1.0,127,33.063853
-1.0,110,33.297865
-1.0,102,33.51976
-1.0,88,33.709224
-1.0,119,33.959253
-1.0,146,34.283888
-1.0,107,34.509847
-1.0,98,34.721426
-1.0,137,35.009182
-1.0,108,35.23403
-1.0,115,35.472736
-1.0,104,46.5901
-1.0,125,46.866361
-1.0,144,47.175319
-1.0,126,47.445121
-1.0,110,47.683337
-1.0,111,47.917653
-1.0,121,48.175848
-1.0,133,48.458378
-1.0,109,48.68877
-1.0,99,48.896962
-1.0,134,49.181452
-1.0,127,49.462701
-1.0,119,49.718495
-1.0,113,49.95523
-1.0,181,50.334903
-1.0,122,50.594939
-1.0,112,50.831094
-1.0,121,61.996298
-1.0,140,62.290599
-1.0,186,62.674651
-1.0,134,62.960757
-1.0,121,63.219046
-1.0,140,63.516405
-1.0,143,63.817224
-1.0,129,64.091594
-1.0,190,64.493953
-1.0,110,64.724808
-1.0,190,65.123334
-1.0,219,65.590614
-1.0,313,77.207783
-1.0,158,77.523138
-1.0,206,77.947956
1.0,25,78.001776
-1.0,313,78.66026
-1.0,172,79.029051
-1.0,207,79.461313
-1.0,149,79.772456
-1.0,155,80.101685
-1.0,194,80.509224
-1.0,166,80.853276
-1.0,177,81.222314
-1.0,528,93.228578
-1.0,206,93.654848
-1.0,243,94.152463
-1.0,200,94.566424
1.0,61,94.694756
-1.0,333,95.38119
-1.0,125,95.642181
-1.0,349,96.366755
-1.0,179,108.38753
-1.0,233,108.865502
-1.0,377,109.642623
-1.0,274,110.204401
-1.0,247,110.712109
-1.0,363,111.473387
-1.0,385,112.262571
-1.0,399,123.946648
-1.0,1000,125.995203
-1.0,597,127.224175
-1.0,598,139.344848
-1.0,426,140.21417
-1.0,603,141.436323
-1.0,195,141.829021
-1.0,426,153.645805
-1.0,445,154.543834
-1.0,450,155.446854
-1.0,564,156.577864
-1.0,415,157.409099
-1.0,470,169.530972
-1.0,431,170.393966
-1.0,416,171.229406
-1.0,736,172.723571
-1.0,442,184.598769
-1.0,456,185.52958
-1.0,435,186.404139
-1.0,429,187.26594
-1.0,428,199.706923
-1.0,583,200.89269
-1.0,596,202.08919
-1.0,555,203.218591
-1.0,259,203.741812
-1.0,735,216.203835
-1.0,601,217.420277
-1.0,901,230.517184
-1.0,413,231.351835
-1.0,304,231.960512
-1.0,350,232.642837
-1.0,769,234.186352
-1.0,915,247.220975
-1.0,649,248.518598
-1.0,877,261.284925
-1.0,409,262.078002
-1.0,590,263.271415
-1.0,262,263.801339
-1.0,1000,276.70503
-1.0,946,278.603687
-1.0,579,290.626147
-1.0,550,291.707289
-1.0,430,292.566512
-1.0,434,293.428326
-1.0,973,306.305489
-1.0,885,308.065744
-1.0,1000,320.979872
-1.0,909,322.756436
-1.0,504,323.777745
-1.0,1000,336.695422
-1.0,368,337.409045
-1.0,421,338.199741
-1.0,406,338.98064
-1.0,546,351.001147
-1.0,547,352.095591
-1.0,911,353.888857
-1.0,572,366.038187
-1.0,421,366.859758
-1.0,1000,368.855536
-1.0,430,380.568725
-1.0,764,382.077399
-1.0,595,383.249617
-1.0,432,384.106744
-1.0,399,395.915619
-1.0,443,396.792691
-1.0,1000,398.792248
-1.0,557,410.938121
-1.0,880,412.682151
-1.0,552,413.778042
-1.0,1000,426.65268
-1.0,987,428.613897
-1.0,832,441.418436
-1.0,576,442.531898
-1.0,570,443.662036
-1.0,402,444.449959
-1.0,879,457.40114
-1.0,573,458.541792
-1.0,759,460.053109
-1.0,1000,472.975421
-1.0,446,473.859185
-1.0,873,486.643361
-1.0,723,488.069847
-1.0,1000,490.026487
-1.0,758,502.429968
-1.0,509,503.439878
-1.0,996,516.461206
-1.0,720,517.88341
-1.0,1000,519.840211
-1.0,798,532.551391
-1.0,621,533.781876
-1.0,1000,546.674484
-1.0,1000,548.65101
-1.0,1000,561.545129
-1.0,576,562.670052
-1.0,893,564.423137
-1.0,719,576.810529
-1.0,709,578.21319
-1.0,1000,580.187982
-1.0,917,593.172542
1.0,1,593.175254
-1.0,973,595.091957
-1.0,901,607.831499
-1.0,968,609.698139
