#{"t_start": 1759983676.066828, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,129,0.835096
-1.0,94,1.031842
-1.0,126,1.293543
-1.0,91,1.4884
-1.0,94,1.686224
-1.0,109,1.917526
-1.0,137,2.201159
-1.0,111,2.435831
-1.0,102,2.660353
-1.0,100,2.872091
-1.0,89,3.059978
-1.0,162,3.39847
1.0,111,3.63309
-1.0,118,3.886072
-1.0,121,4.142246
-1.0,120,4.401307
-1.0,94,4.59972
-1.0,87,4.799424
-1.0,102,15.940022
-1.0,96,16.145786
-1.0,96,16.34832
-1.0,105,16.569826
-1.0,120,16.822962
-1.0,91,17.018661
-1.0,98,17.238235
-1.0,137,17.528502
-1.0,116,17.774696
-1.0,111,18.012262
-1.0,113,18.251585
-1.0,88,18.434716
-1.0,131,18.714051
-1.0,104,18.933034
-1.0,112,19.176052
-1.0,104,19.405337
-1.0,95,19.606988
-1.0,96,19.81065
-1.0,154,20.139171
-1.0,106,31.443953
-1.0,98,31.652796
-1.0,124,31.929379
-1.0,111,32.165881
-1.0,98,32.376626
-1.0,104,32.595299
-1.0,111,32.834063
-1.0,102,33.049484
-1.0,109,33.282044
-1.0,154,33.615068
-1.0,97,33.821278
-1.0,102,34.050728
-1.0,104,34.272277
-1.0,155,34.602036
-1.0,98,34.809743
-1.0,130,35.086539
-1.0,124,35.343845
-1.0,118,35.592132
-1.0,111,46.734668
-1.0,120,46.990335
-1.0,135,47.281044
-1.0,103,47.498066
-1.0,139,47.798303
-1.0,152,48.121522
-1.0,116,48.367646
-1.0,99,48.579645
-1.0,163,48.920188
-1.0,125,49.18669
-1.0,111,49.432892
-1.0,103,49.651785
-1.0,190,50.055868
-1.0,157,50.38496
-1.0,124,50.645198
-1.0,112,50.881662
-1.0,148,62.106559
-1.0,165,62.45017
-1.0,116,62.689426
-1.0,131,62.968892
-1.0,131,63.248509
-1.0,116,63.494918
-1.0,121,63.74984
-1.0,117,63.997058
-1.0,134,64.282279
-1.0,143,64.584918
-1.0,150,64.901494
-1.0,205,65.330869
-1.0,162,65.684353
-1.0,142,65.98586
-1.0,102,77.148739
-1.0,148,77.443163
-1.0,164,77.78235
-1.0,240,78.291442
-1.0,155,78.612027
-1.0,126,78.885389
-1.0,224,79.350995
-1.0,1000,92.344567
-1.0,170,92.702794
-1.0,162,93.040835
-1.0,162,93.375892
-1.0,287,93.969628
-1.0,335,94.660848
-1.0,174,95.018232
-1.0,214,95.463506
-1.0,512,96.533376
-1.0,214,108.616232
-1.0,511,109.673202
-1.0,169,110.017116
-1.0,987,112.060498
-1.0,332,123.603542
-1.0,520,124.661658
-1.0,311,125.293744
-1.0,333,125.99125
-1.0,346,126.703485
-1.0,442,138.523354
-1.0,232,138.983557
-1.0,291,139.578819
-1.0,375,140.342468
-1.0,269,140.885674
-1.0,804,142.515881
-1.0,615,154.711045
-1.0,581,155.869732
-1.0,616,157.107895
-1.0,430,169.145909
-1.0,424,169.99847
-1.0,428,170.85337
-1.0,601,172.0775
-1.0,409,172.900366
1.0,92,184.07228
-1.0,449,184.979851
-1.0,573,186.142216
1.0,489,187.124282
-1.0,480,199.66809
-1.0,314,200.300267
-1.0,451,201.218009
-1.0,590,202.410679
-1.0,418,203.263164
-1.0,435,215.132308
-1.0,240,215.610554
-1.0,623,216.860691
-1.0,393,217.67934
-1.0,562,218.813608
-1.0,565,231.217054
-1.0,416,232.044398
-1.0,918,233.86844
-1.0,330,245.723247
-1.0,433,246.600058
-1.0,427,247.450456
-1.0,389,248.228232
-1.0,419,249.067112
-1.0,419,260.929978
1.0,495,261.8807
-1.0,300,262.484221
-1.0,192,262.874174
-1.0,771,264.440542
-1.0,898,277.133597
-1.0,898,278.927898
-1.0,1000,291.777843
-1.0,1000,293.764439
-1.0,409,294.58912
-1.0,410,306.34023
-1.0,441,307.215426
-1.0,445,308.103468
-1.0,547,309.200554
-1.0,405,320.917934
1.0,858,322.593244
-1.0,409,323.42571
1.0,552,324.532324
-1.0,895,337.210545
-1.0,743,338.633873
-1.0,757,351.063269
-1.0,461,351.989751
-1.0,740,353.43448
-1.0,400,354.232936
-1.0,417,366.070619
-1.0,399,366.850443
-1.0,581,368.008223
-1.0,255,368.514277
-1.0,931,381.231654
-1.0,903,383.006571
-1.0,908,395.821852
-1.0,1000,397.817648
-1.0,767,399.350979
-1.0,1000,412.365013
-1.0,878,414.105763
-1.0,539,426.063784
-1.0,914,427.884946
-1.0,879,429.633193
-1.0,598,441.945694
-1.0,581,443.090135
-1.0,600,444.271906
-1.0,1000,457.464272
-1.0,399,458.25372
-1.0,1000,471.16938
-1.0,555,472.292156
-1.0,424,473.129655
-1.0,413,473.947518
-1.0,413,474.76051
-1.0,589,486.984284
-1.0,742,488.433259
-1.0,545,489.504286
-1.0,584,501.551093
-1.0,775,503.100836
-1.0,744,504.577071
-1.0,517,516.649707
-1.0,561,517.757164
-1.0,626,518.975863
-1.0,910,531.89989
-1.0,1000,533.893241
-1.0,968,546.717309
-1.0,687,548.07055
-1.0,703,549.469928
-1.0,837,562.025104
-1.0,1000,563.992335
-1.0,1000,576.926766
-1.0,849,578.610175
-1.0,1000,591.742818
-1.0,1000,593.730581
-1.0,759,595.228442
-1.0,1000,608.14534
-1.0,847,609.788622
