#{"t_start": 1759984711.575789, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,96,0.7995
-1.0,105,1.04055
-1.0,121,1.298513
-1.0,101,1.511912
-1.0,99,1.716613
-1.0,113,1.960036
-1.0,88,2.153562
-1.0,117,2.411479
-1.0,114,2.653993
-1.0,120,2.913065
-1.0,110,3.137831
-1.0,106,3.358205
-1.0,110,3.588017
-1.0,103,3.802291
1.0,37,3.88752
-1.0,104,4.10917
-1.0,102,4.328232
-1.0,113,4.579074
-1.0,113,4.822703
-1.0,114,16.080672
-1.0,107,16.295107
-1.0,91,16.483526
-1.0,108,16.709177
-1.0,104,16.922723
-1.0,89,17.111722
-1.0,97,17.312698
-1.0,92,17.503781
-1.0,122,17.754643
-1.0,95,17.944077
-1.0,114,18.193549
-1.0,84,18.367178
-1.0,113,18.605166
-1.0,92,18.791363
-1.0,84,18.963015
-1.0,88,19.144382
-1.0,110,19.369031
-1.0,97,19.585261
-1.0,107,19.805862
-1.0,101,20.026606
-1.0,137,31.318482
-1.0,103,31.586904
-1.0,106,31.809724
-1.0,113,32.057065
-1.0,87,32.251451
-1.0,105,32.476101
-1.0,130,32.756514
-1.0,94,32.957597
-1.0,120,33.231721
-1.0,112,33.471473
-1.0,132,33.750566
-1.0,113,34.008199
-1.0,91,34.199661
-1.0,102,34.412815
-1.0,128,34.697888
-1.0,132,34.978009
-1.0,84,35.157224
-1.0,89,35.351641
-1.0,84,35.53761
-1.0,88,35.734119
-1.0,96,46.876765
-1.0,90,47.060346
-1.0,104,47.273229
-1.0,97,47.477329
-1.0,103,47.694145
-1.0,115,47.930216
-1.0,102,48.138585
-1.0,92,48.329395
-1.0,105,48.555523
-1.0,129,48.835627
-1.0,103,49.055096
-1.0,116,49.310951
-1.0,122,49.574004
-1.0,92,49.760746
-1.0,95,49.953265
-1.0,105,50.166061
-1.0,101,50.372046
-1.0,123,50.640322
-1.0,151,50.956474
-1.0,135,62.162651
-1.0,94,62.364254
-1.0,138,62.674463
-1.0,101,62.882823
-1.0,108,63.12694
-1.0,88,63.314865
-1.0,114,63.55371
-1.0,95,63.761424
-1.0,118,64.026034
-1.0,103,64.263617
-1.0,100,64.495173
1.0,92,64.68995
-1.0,123,64.947151
-1.0,110,65.179001
-1.0,108,65.407057
-1.0,100,65.61819
-1.0,114,65.869705
-1.0,129,66.150807
-1.0,100,77.330329
-1.0,115,77.577558
-1.0,125,77.857241
-1.0,152,78.195439
-1.0,172,78.562141
-1.0,125,78.816513
-1.0,137,79.101396
-1.0,131,79.372762
-1.0,108,79.604719
-1.0,110,79.845144
-1.0,164,80.197565
1.0,82,80.363064
-1.0,131,80.636275
-1.0,142,80.933102
-1.0,497,92.847296
-1.0,304,93.491543
-1.0,134,93.772976
-1.0,125,94.028553
-1.0,195,94.455235
-1.0,134,94.726812
-1.0,134,94.999497
-1.0,132,95.267003
-1.0,116,95.50015
-1.0,136,95.773709
-1.0,195,96.170748
-1.0,146,96.462068
-1.0,172,107.686234
-1.0,167,108.03387
-1.0,215,108.47764
-1.0,133,108.751983
-1.0,816,110.49781
-1.0,145,110.780409
-1.0,1000,123.815759
-1.0,258,124.362569
-1.0,494,125.380709
-1.0,1000,138.486492
-1.0,600,139.627726
-1.0,1000,141.559536
-1.0,285,142.272963
-1.0,1000,155.403298
-1.0,1000,157.308136
-1.0,1000,170.13122
-1.0,1000,172.132214
-1.0,1000,184.951597
-1.0,1000,186.942833
-1.0,1000,199.766046
-1.0,1000,201.775371
-1.0,1000,214.640787
-1.0,1000,216.630936
-1.0,1000,229.77676
-1.0,1000,231.901971
-1.0,1000,244.934101
-1.0,1000,246.854761
-1.0,1000,259.662219
-1.0,1000,261.550704
-1.0,1000,274.305416
-1.0,459,275.215369
-1.0,1000,288.299135
-1.0,967,290.146954
-1.0,1000,292.156995
-1.0,1000,304.965119
-1.0,1000,306.830616
-1.0,549,318.827216
-1.0,162,319.154862
-1.0,372,319.904221
-1.0,1000,321.938918
-1.0,569,333.994585
-1.0,1000,335.917493
-1.0,514,336.884516
-1.0,1000,349.768765
-1.0,1000,351.780432
-1.0,801,364.236093
-1.0,759,365.76306
-1.0,484,366.711629
1.0,1,366.714432
-1.0,1000,379.541941
-1.0,1000,381.499061
-1.0,904,394.133184
-1.0,1000,395.987086
-1.0,1000,408.759401
-1.0,1000,410.715854
-1.0,247,411.180753
-1.0,1000,424.042909
-1.0,1000,425.964857
-1.0,1000,438.758949
-1.0,1000,440.627212
-1.0,1000,453.424413
-1.0,496,454.386669
-1.0,1000,467.477531
-1.0,1000,469.368879
-1.0,1000,482.242119
-1.0,1000,484.120559
-1.0,1000,496.981369
-1.0,1000,498.852439
-1.0,1000,511.708999
-1.0,1000,513.603401
-1.0,1000,526.444828
-1.0,1000,528.317227
-1.0,1000,541.169662
-1.0,1000,543.0517
-1.0,1000,544.935328
-1.0,1000,557.773764
-1.0,1000,559.66169
-1.0,1000,572.410284
-1.0,1000,574.28675
-1.0,822,586.724912
-1.0,1000,588.617036
-1.0,1000,601.466177
-1.0,1000,603.34561
