#{"t_start": 1759984711.5736957, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,99,0.810286
-1.0,101,1.039795
-1.0,99,1.247575
-1.0,108,1.476537
-1.0,124,1.742466
-1.0,121,1.998307
-1.0,109,2.24268
-1.0,96,2.449224
-1.0,96,2.653089
-1.0,111,2.891213
-1.0,129,3.160036
-1.0,122,3.413073
-1.0,97,3.615039
-1.0,116,3.861173
-1.0,104,4.085771
-1.0,101,4.295818
-1.0,100,4.519973
-1.0,114,4.768575
-1.0,103,15.996068
-1.0,93,16.196394
-1.0,92,16.384613
-1.0,122,16.64076
-1.0,94,16.832799
-1.0,109,17.06078
-1.0,126,17.322983
-1.0,122,17.577111
-1.0,103,17.785471
-1.0,100,17.989649
-1.0,101,18.210478
-1.0,93,18.405185
-1.0,91,18.593291
-1.0,96,18.788065
-1.0,124,19.043279
-1.0,78,19.203232
-1.0,94,19.398047
-1.0,96,19.609781
-1.0,102,19.819939
-1.0,111,20.06291
-1.0,95,20.263025
-1.0,104,31.536253
-1.0,86,31.719552
-1.0,91,31.914963
-1.0,114,32.1697
-1.0,84,32.348186
-1.0,100,32.560793
-1.0,115,32.810489
-1.0,116,33.061133
1.0,103,33.292091
-1.0,99,33.506109
-1.0,97,33.714656
-1.0,89,33.912568
-1.0,83,34.094208
-1.0,115,34.335015
-1.0,89,34.522184
-1.0,93,34.735112
-1.0,77,34.896866
-1.0,93,35.094147
-1.0,88,35.287535
-1.0,105,35.515304
-1.0,80,35.694678
-1.0,92,46.830563
-1.0,101,47.039222
-1.0,82,47.206014
-1.0,109,47.434566
-1.0,107,47.660088
-1.0,90,47.843976
-1.0,122,48.093579
-1.0,98,48.29637
-1.0,107,48.523506
-1.0,90,48.728143
-1.0,99,48.934511
-1.0,106,49.176765
-1.0,115,49.422441
-1.0,93,49.616643
-1.0,93,49.804852
-1.0,103,50.013151
-1.0,83,50.180997
-1.0,105,50.397304
-1.0,111,50.637269
-1.0,88,50.822431
-1.0,90,61.940228
-1.0,143,62.236459
-1.0,89,62.425622
-1.0,106,62.667208
-1.0,91,62.855488
-1.0,106,63.094518
-1.0,95,63.295953
-1.0,95,63.492864
-1.0,84,63.68279
-1.0,103,63.901354
-1.0,125,64.188238
-1.0,101,64.433956
-1.0,83,64.606516
-1.0,101,64.819223
-1.0,116,65.060272
-1.0,102,65.27734
-1.0,113,65.517975
-1.0,109,65.749804
-1.0,91,65.958317
-1.0,95,66.161209
-1.0,84,66.338529
-1.0,122,77.564139
-1.0,112,77.814368
-1.0,101,78.038293
-1.0,127,78.324502
-1.0,150,78.632584
-1.0,101,78.841436
-1.0,121,79.091078
-1.0,107,79.311179
-1.0,111,79.544182
-1.0,142,79.862242
-1.0,125,80.129866
-1.0,115,80.364383
-1.0,103,80.578635
-1.0,121,80.828058
-1.0,125,81.09036
-1.0,230,81.576751
1.0,83,92.620991
-1.0,171,92.980027
-1.0,127,93.252669
-1.0,109,93.482453
-1.0,156,93.809344
-1.0,309,94.469906
-1.0,145,94.761991
-1.0,233,95.237323
-1.0,148,95.534691
-1.0,121,95.778093
-1.0,321,96.424468
-1.0,231,107.769115
-1.0,268,108.322639
-1.0,166,108.665801
-1.0,227,109.136759
-1.0,175,109.584045
-1.0,130,109.85313
-1.0,152,110.16116
-1.0,157,110.468844
-1.0,587,111.62604
-1.0,710,124.110686
-1.0,266,124.668438
-1.0,186,125.048691
-1.0,252,125.569381
-1.0,293,126.183284
-1.0,222,126.639075
-1.0,1000,139.636075
-1.0,237,140.091439
-1.0,317,140.699501
-1.0,518,141.704793
-1.0,1000,154.977911
-1.0,991,156.874387
-1.0,565,168.834052
-1.0,1000,170.819774
-1.0,1000,183.662206
-1.0,1000,185.64712
-1.0,1000,198.501347
-1.0,1000,200.451791
-1.0,1000,213.393081
-1.0,1000,215.323255
-1.0,1000,228.456305
-1.0,1000,230.464361
-1.0,1000,243.656753
-1.0,1000,245.605876
-1.0,1000,247.498903
-1.0,1000,260.310655
-1.0,1000,262.195684
-1.0,1000,274.989919
-1.0,1000,276.977126
-1.0,1000,289.995871
-1.0,340,290.656528
-1.0,1000,303.590871
-1.0,1000,305.450379
-1.0,511,306.397759
-1.0,1000,319.278704
-1.0,1000,321.308275
-1.0,1000,334.23463
-1.0,1000,336.144824
-1.0,168,336.45899
-1.0,1000,349.286679
-1.0,1000,351.319352
-1.0,1000,364.18285
-1.0,1000,366.196057
-1.0,1000,379.002671
-1.0,424,379.83936
-1.0,672,381.157746
-1.0,1000,393.985176
-1.0,1000,395.838206
-1.0,1000,408.599747
-1.0,1000,410.564842
-1.0,1000,423.410882
-1.0,562,424.495909
-1.0,637,425.714077
-1.0,1000,438.52126
-1.0,191,438.878203
-1.0,1000,440.748748
-1.0,1000,453.54624
-1.0,1000,455.457238
-1.0,1000,468.554046
-1.0,1000,470.441944
-1.0,1000,483.309641
-1.0,1000,485.1903
-1.0,1000,498.049529
-1.0,1000,499.913202
-1.0,1000,512.78164
-1.0,1000,514.666361
-1.0,1000,527.507464
-1.0,1000,529.377065
1.0,14,529.404142
-1.0,1000,542.270176
-1.0,1000,544.143952
-1.0,1000,556.995743
-1.0,1000,558.873748
-1.0,1000,571.627518
-1.0,1000,573.50317
-1.0,1000,586.257431
-1.0,1000,588.171637
-1.0,1000,601.013876
-1.0,1000,602.898972
