#{"t_start": 1759985488.9201033, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,131,0.848768
-1.0,98,1.061564
-1.0,109,1.304728
-1.0,104,1.52909
-1.0,129,1.800434
-1.0,104,2.022354
-1.0,104,2.244527
-1.0,108,2.474328
-1.0,100,2.683364
-1.0,110,2.916496
-1.0,89,3.102473
-1.0,97,3.32008
-1.0,125,3.59001
-1.0,136,3.8797
-1.0,94,4.074497
-1.0,103,4.289671
-1.0,119,4.541259
-1.0,134,4.832713
-1.0,105,16.630557
-1.0,100,16.849745
-1.0,95,17.055275
-1.0,118,17.313869
-1.0,90,17.515429
-1.0,103,17.745359
-1.0,119,18.007382
-1.0,99,18.231676
-1.0,88,18.421053
-1.0,120,18.691619
-1.0,110,18.937654
-1.0,98,19.153478
-1.0,101,19.365849
-1.0,114,19.611095
-1.0,88,19.80111
-1.0,133,20.087886
-1.0,92,20.287678
-1.0,110,20.518762
-1.0,94,20.717365
-1.0,94,20.917033
-1.0,119,32.504604
-1.0,148,32.832413
-1.0,93,33.03615
-1.0,103,33.249679
-1.0,115,33.488433
-1.0,107,33.714248
-1.0,93,33.931041
-1.0,94,34.14408
-1.0,109,34.36822
-1.0,113,34.604515
-1.0,108,34.832808
-1.0,125,35.096341
-1.0,129,35.35939
-1.0,110,35.584671
-1.0,109,35.809668
-1.0,124,36.072462
-1.0,115,36.310958
-1.0,135,36.584975
-1.0,121,48.142028
-1.0,172,48.496616
1.0,100,48.706133
-1.0,145,49.017717
-1.0,143,49.334413
-1.0,118,49.580891
-1.0,107,49.806819
-1.0,130,50.079188
-1.0,191,50.482668
-1.0,161,50.822632
-1.0,112,51.053631
-1.0,99,51.281279
-1.0,150,51.591232
-1.0,114,51.828608
-1.0,123,52.088003
-1.0,201,63.808243
-1.0,149,64.130821
-1.0,117,64.375213
-1.0,174,64.740998
-1.0,302,65.374374
-1.0,112,65.612825
-1.0,141,65.89689
-1.0,217,66.32875
-1.0,133,66.607453
-1.0,298,67.207078
-1.0,142,67.482618
-1.0,133,67.748246
-1.0,425,80.056832
-1.0,119,80.317263
-1.0,131,80.590699
-1.0,106,80.818581
-1.0,259,81.399623
-1.0,154,81.734365
-1.0,133,82.008639
-1.0,97,82.209665
-1.0,111,82.445091
-1.0,115,82.69765
-1.0,118,82.950496
-1.0,124,83.219858
-1.0,118,83.469304
-1.0,118,95.250797
-1.0,109,95.464042
-1.0,649,96.747848
-1.0,414,97.600588
-1.0,106,97.825578
-1.0,1000,111.290178
-1.0,1000,113.307172
-1.0,242,113.800026
-1.0,1000,126.923728
-1.0,1000,128.809226
-1.0,1000,142.065468
1.0,235,142.540945
-1.0,1000,144.519436
-1.0,1000,157.99284
-1.0,1000,159.956229
-1.0,1000,173.142168
-1.0,1000,175.034724
-1.0,1000,188.053246
-1.0,1000,189.991667
-1.0,1000,203.035029
-1.0,1000,205.017063
-1.0,1000,218.199399
-1.0,1000,220.1507
-1.0,1000,233.203029
-1.0,1000,235.096679
-1.0,1000,248.107757
-1.0,1000,250.013606
-1.0,1000,263.165486
-1.0,1000,265.092376
-1.0,1000,278.139982
-1.0,272,278.645237
-1.0,1000,280.53962
-1.0,994,293.570354
-1.0,1000,295.467373
-1.0,1000,308.42144
-1.0,1000,310.347287
-1.0,1000,323.314831
-1.0,1000,325.276935
-1.0,1000,338.42844
-1.0,1000,340.326201
-1.0,1000,353.303029
-1.0,1000,355.174608
-1.0,1000,368.184644
-1.0,1000,370.107167
-1.0,1000,383.057445
-1.0,1000,384.982739
-1.0,1000,398.055694
-1.0,518,399.073052
-1.0,1000,401.004375
-1.0,1000,414.000501
-1.0,1000,415.882099
-1.0,1000,428.958741
-1.0,1000,430.841665
-1.0,1000,443.993511
-1.0,1000,445.863378
-1.0,1000,458.911573
-1.0,1000,460.798487
-1.0,436,461.617533
-1.0,1000,474.999213
-1.0,1000,476.885995
-1.0,1000,490.021101
-1.0,1000,491.906348
-1.0,1000,505.26688
-1.0,481,506.168891
-1.0,1000,519.53494
-1.0,1000,521.417396
-1.0,1000,534.708819
-1.0,1000,536.574368
-1.0,1000,549.90134
-1.0,1000,551.782612
-1.0,1000,565.092041
-1.0,1000,566.965904
-1.0,1000,568.843618
-1.0,1000,582.203641
-1.0,1000,584.073291
-1.0,1000,597.361248
-1.0,1000,599.24258
-1.0,1000,612.519877
1.0,7,612.533941
-1.0,1000,614.406706
-1.0,1000,627.707221
-1.0,1000,629.586175
-1.0,1000,642.507102
-1.0,1000,644.392814
-1.0,1000,657.680501
-1.0,1000,659.565751
-1.0,1000,672.854084
-1.0,1000,674.739872
-1.0,1000,687.844392
-1.0,1000,689.728448
-1.0,1000,703.115904
-1.0,1000,704.993897
-1.0,1000,718.298419
-1.0,1000,720.161908
-1.0,1000,733.390196
-1.0,1000,735.264605
-1.0,1000,748.587523
1.0,269,749.098021
-1.0,912,750.798243
-1.0,1000,763.870057
-1.0,1000,765.756747
-1.0,1000,778.937101
-1.0,1000,780.819644
-1.0,1000,793.964386
-1.0,256,794.446327
-1.0,1000,796.3262
-1.0,322,808.215193
-1.0,1000,810.096922
-1.0,1000,812.055375
-1.0,1000,825.200678
-1.0,1000,827.078687
-1.0,1000,840.505898
-1.0,1000,842.398583
-1.0,1000,855.639776
-1.0,1000,857.519098
-1.0,1000,870.758824
-1.0,1000,872.654919
-1.0,1000,885.988078
-1.0,1000,887.860309
-1.0,1000,901.367501
-1.0,1000,903.249539
-1.0,1000,916.383181
-1.0,1000,918.287957
-1.0,1000,931.540713
-1.0,1000,933.416953
-1.0,1000,946.446223
-1.0,1000,948.338922
-1.0,1000,961.748159
1.0,47,961.837075
-1.0,1000,963.713659
-1.0,1000,976.84622
-1.0,1000,978.730917
-1.0,587,991.114314
-1.0,1000,992.99604
-1.0,1000,1006.26107
-1.0,1000,1008.140566
-1.0,1000,1010.013585
-1.0,806,1022.792578
