#{"t_start": 1760915893.0297067, "env_id": "CustomLunarLander-v0"}
r,l,t
-1166.126715,120,0.809114
-1156.87367,89,0.96999
-1534.229569,88,1.131071
-1770.690196,133,1.374466
-1446.205215,88,1.534681
-1275.727258,82,1.683178
-1616.066932,118,1.902945
-1928.692702,128,2.132253
-1413.638638,129,2.361114
-1306.898824,87,2.518646
-1575.295624,131,2.755872
-1081.79653,136,2.998255
-1365.055186,97,3.172426
-1234.211383,120,3.388114
-1380.92043,124,3.611031
-1420.575607,75,3.744942
-1101.161664,80,3.890686
-1370.652456,93,4.058897
-1155.57012,98,4.235309
-1115.845345,94,15.568022
-1214.833357,117,15.777507
-1187.11519,118,15.991035
-1237.650604,79,16.13367
-1639.851923,109,16.32795
-1899.817574,149,16.596199
-1217.871482,104,16.782922
-1242.593645,105,16.97931
-1292.29381,81,17.126681
-1509.409731,141,17.379103
-1603.775167,91,17.540192
-1179.637008,85,17.691937
-1167.729671,68,17.813254
-1179.861336,68,17.935224
-1250.292157,99,18.112428
-1535.185725,104,18.297472
-1114.946918,92,18.463638
-1465.633976,133,18.702169
-1435.740107,126,18.927432
-1082.290939,104,19.114003
-1354.341619,77,30.481424
-1285.474116,94,30.650931
-1292.876781,84,30.801306
-1280.811882,143,31.056718
-1217.966213,81,31.207276
-1306.239006,82,31.354709
-1611.720367,109,31.54951
-1535.465945,123,31.769896
-1228.800489,109,31.964437
-1098.154671,81,32.107929
-1156.476182,134,32.348728
-1318.961442,73,32.478722
-1438.001915,127,32.706882
-1260.142305,102,32.888127
-1250.619881,124,33.108902
-1368.190234,78,33.246967
-1314.279328,115,33.452142
-2061.304754,167,33.751795
-1449.438448,108,33.946085
-1184.614988,86,45.429766
-1320.457122,121,45.648709
-1368.941934,90,45.817505
-1080.680749,125,46.052063
-1380.880252,78,46.198831
-1182.854168,76,46.340065
-1569.063247,115,46.556146
-1371.520526,140,46.817632
-1145.933631,118,47.053436
-1497.623442,89,47.228975
-1280.83042,159,47.522674
-1131.082614,86,47.68289
-1797.082954,168,48.000444
-1658.493175,135,48.253646
-1392.681669,67,48.379545
-1302.553811,90,48.550064
-1182.716528,86,48.709899
-1372.489398,93,48.879221
-1166.08904,113,49.092422
-1743.711205,120,60.611394
-1212.002216,114,60.816956
-1175.181911,95,60.990789
-1098.922262,81,61.139117
-1213.281571,134,61.38081
-1284.766649,71,61.507236
-1675.032393,165,61.806321
-1356.518334,106,61.999495
-1388.638936,113,62.222081
-1392.90511,101,62.404079
-1267.752945,100,62.585071
-1292.226824,69,62.710701
-1605.642155,131,62.9463
-1166.792315,116,63.155699
-1094.774005,75,63.292753
-1267.081183,84,63.442021
-1265.153568,97,63.617457
-1259.867887,109,63.814478
-1127.906542,86,63.970557
-1125.035221,79,64.114874
-1106.554298,110,75.673587
-1310.953637,127,75.907445
-1126.301876,144,76.165386
-1269.29293,65,76.285426
-1181.939366,195,76.635504
-1737.9445,178,76.959808
-1260.882493,134,77.201843
-1559.946887,176,77.521211
-1382.925623,124,77.743513
-1470.374674,74,77.877606
-1125.031691,75,78.013268
-1117.137787,88,78.176114
-1340.645058,98,78.355669
-1156.261924,108,78.553425
-1204.015187,136,78.801906
-2239.397935,211,79.188917
-1391.10077,70,79.319393
-1212.480287,85,90.645168
-1683.829036,143,90.901868
-1477.753665,95,91.072393
-1307.279383,110,91.272904
-1168.140079,133,91.511315
-1424.241116,106,91.707403
-1279.026221,187,92.044217
-1331.07037,91,92.211438
-1136.884075,118,92.426125
-1220.417826,139,92.680953
-1598.686464,130,92.912987
-1134.669198,84,93.064925
-1629.14459,102,93.263553
-1117.734127,115,93.47137
-1470.469612,93,93.641889
-1168.895409,149,93.911825
-1158.978417,69,94.036777
-1323.312558,95,94.213271
-1120.647373,106,105.921166
-1802.025414,133,106.161669
-1585.304823,133,106.403708
-1546.980868,122,106.626505
-1517.763125,96,106.800708
-1317.799581,73,106.936007
-1169.467719,106,107.132083
-1334.957546,111,107.330076
-1625.594996,133,107.576278
-1796.433722,161,107.870689
-1257.890373,68,107.996283
-1174.908378,88,108.15726
-1410.747853,83,108.305857
-1116.839303,159,108.596997
-1223.346895,120,108.813193
-1338.464927,113,109.024029
-1418.159439,209,109.4062
-1782.846854,123,121.315667
-1257.417476,140,121.576295
-1389.148011,184,121.926488
-1634.908596,105,122.124847
-1146.807978,204,122.530101
-1631.269111,172,122.863927
-1134.711014,97,123.047632
-1198.686974,103,123.243462
-1137.853396,93,123.416841
-1375.811994,145,123.686439
-1911.084001,172,124.011741
-1159.825326,87,124.174522
-1228.68452,75,124.315408
-2738.100829,259,124.818144
-1302.290282,115,125.05914
-1278.215746,83,137.483018
-2184.757009,201,137.851161
-1269.715745,97,138.03083
-1470.151453,108,138.225114
-1144.849802,126,138.460572
-1381.024213,283,138.969162
-1623.654359,421,139.722914
-1386.079771,439,140.520637
-1311.617566,268,141.032534
-1327.778449,183,152.642467
-1165.277999,118,152.864599
-1525.907525,304,153.418844
-1200.851908,68,153.553469
-2191.027121,264,154.038438
-1580.001746,199,154.398026
-1996.079162,308,154.960471
-1309.007037,244,155.407377
-1402.010172,166,155.712589
-1251.65368,213,156.097026
-1983.752405,240,167.853153
-1472.735535,396,168.595981
-1524.082068,144,168.857166
-1183.903623,169,169.161182
-2151.297737,250,169.610344
-2558.774764,358,170.260353
-1578.286142,223,170.664158
-2420.251162,300,182.728983
-2067.494761,212,183.106894
-2206.892801,531,184.072169
-1383.748361,70,184.198759
-1699.517476,153,184.47088
-1326.918672,366,185.159257
-3221.1342,468,186.04115
-1406.840049,344,198.552559
-1543.556132,396,199.269712
