#{"t_start": 1760851649.5302951, "env_id": "CustomLunarLander-v0"}
r,l,t
-1210.5785,105,1.154538
-1279.959677,58,1.691898
-1191.404777,96,2.575821
-1116.514933,68,3.193135
-1145.029083,105,4.135365
-1153.949411,141,5.414217
-1779.262747,178,7.031199
-1325.064225,140,8.31662
-1084.964347,94,9.185112
-1381.135669,91,10.371808
-1352.11019,64,11.286451
-1458.353572,101,12.757807
-1432.729195,65,13.709237
-1433.349247,117,15.421053
-1334.124295,133,17.349037
-1116.093138,113,18.992963
-1101.167429,87,20.303927
-1621.902497,124,22.175108
-1900.41321,140,24.270462
-1351.145892,332,29.166109
-1267.142004,47,29.892855
-1407.145721,87,31.178456
-1206.594666,101,32.635055
-1137.472992,76,33.719161
-1628.853601,121,35.459187
-1117.6529,84,36.661838
-1092.630582,77,37.855877
-1396.765722,88,39.176365
-1275.787418,108,40.817788
-1361.791973,143,42.964475
-1137.757773,76,44.128292
-1165.682793,128,46.026907
-1173.768715,68,47.069704
-1393.83151,88,48.400563
-1115.896531,73,49.483266
-1248.284739,98,50.990444
-1387.624379,125,52.858965
-1194.95337,73,53.945171
-1065.915464,88,55.281955
-1281.974684,111,57.044961
-1484.127345,89,58.367906
-1137.782715,85,59.696313
-1186.607855,65,60.674376
-1202.346172,91,62.018999
-1302.5038,64,62.983193
-1161.101131,65,63.976416
-1140.596815,66,65.058172
-1297.409083,86,66.494909
-1199.993313,58,67.422095
-1066.894066,60,68.329997
-1098.182749,76,69.477344
-1273.182551,91,70.89096
-1361.034459,86,72.188527
-1195.332935,90,73.651206
-1268.423452,115,75.465123
-1110.263762,85,76.816618
-1261.6202,65,77.835538
-1150.443299,72,78.925607
-1058.912615,69,79.995205
-1145.413437,83,81.306779
-1180.699699,119,83.180297
-1136.211567,76,84.339961
-1207.215069,102,85.934537
-1187.740791,44,86.630684
-1281.991292,84,88.027319
-1087.947703,89,89.391389
-1297.903937,88,90.79346
-1106.954482,74,91.919295
-1252.441641,109,93.584011
-1076.012796,74,94.686724
-1111.358947,66,95.669628
-1199.231878,93,97.124067
876.093386,51,97.918952
-1076.289039,60,98.851893
-1115.277007,70,100.026542
-1321.933761,97,101.535042
-1298.820484,88,102.871824
-1073.89994,96,104.348452
-1131.018479,64,105.331558
-1114.04893,78,106.555092
