#{"t_start": 1760851649.540914, "env_id": "CustomLunarLander-v0"}
r,l,t
-1304.379272,56,0.69647
-1441.340188,152,2.105468
-1082.581428,96,2.972522
-1234.488101,132,4.163616
-1164.444842,103,5.095651
-1294.129321,136,6.318449
-1252.063972,68,6.946119
-1490.249933,294,9.800196
-1125.571592,67,10.766025
-1183.07192,67,11.724175
-1106.688908,95,13.115943
-1110.004168,72,14.156566
-1521.003755,109,15.782947
-1138.237743,102,17.241961
-1340.757574,86,18.488053
-1437.450228,101,19.989612
-1483.119547,94,21.432937
-1078.037169,63,22.356602
-1399.821933,68,23.383486
-1399.900919,118,25.156071
-1395.34608,70,26.174444
-1249.1954,147,28.310324
-1202.407224,72,29.39207
-1494.760594,94,30.820418
-1129.15062,75,31.911651
-1084.553586,78,33.025633
-1403.640073,192,35.780797
-1162.441261,118,37.530829
-1138.801858,73,38.651983
-1132.603716,88,39.967203
-1074.798472,51,40.744849
-1269.994038,100,42.258916
-1508.725408,108,43.876844
-1362.402162,91,45.265634
-1167.405555,83,46.484124
-1318.037485,82,47.73729
-1261.350356,58,48.619442
-1353.770296,86,49.902285
-1237.483361,80,51.156095
-1093.248227,81,52.354406
-1250.301967,89,53.66541
-1309.68155,84,54.93702
-1091.092849,82,56.210923
-1162.062301,97,57.718484
-1309.91616,115,59.490854
-1592.650008,107,61.105355
-1128.004273,107,62.68556
-1112.109606,124,64.618276
-1121.304953,91,66.135714
-1214.490101,68,67.234443
-1177.162671,87,68.561801
-1071.151944,74,69.683869
-1153.743035,64,70.680481
-1270.737626,86,71.986163
-1259.030519,77,73.200624
-1264.797252,54,74.074731
-1197.977081,128,76.111612
-1238.832044,73,77.24597
-1220.764005,71,78.353217
-1134.484273,91,79.736842
-1350.702893,90,81.178106
-1184.098302,69,82.28077
-1222.765717,84,83.580519
-1502.313003,94,84.995611
-1143.151821,72,86.14905
-1318.099046,87,87.559419
-1271.695862,91,88.998637
-1325.194197,111,90.752841
-1162.565656,86,92.062238
-1125.481835,91,93.450311
-1096.546386,65,94.423327
-1170.388938,70,95.469014
-1115.866077,82,96.724803
-1226.653241,82,98.023808
-1074.877276,87,99.38008
-1096.982635,63,100.435506
-1193.444576,69,101.507159
-1230.349338,67,102.532032
-1290.122369,82,103.778679
-1114.061792,72,104.90547
-1229.05982,75,106.038774
-1171.873737,86,107.401605
-1325.861568,91,108.809718
-1086.183789,64,109.788752
-1133.890627,95,111.212283
-1140.52894,71,112.280074
-1099.919918,60,113.206468
-1164.144521,69,114.290899
-1121.71817,86,115.607618
-1108.419661,63,116.565578
811.676262,61,117.544156
847.104879,58,118.543151
-1110.721409,62,119.577641
-1260.507708,103,121.206367
-1405.567382,158,123.685114
-1159.298954,88,125.154224
-1231.411532,74,126.516066
-1177.89947,54,127.392489
-1070.681618,94,128.81183
-1383.793228,118,130.666399
