#{"t_start": 1760851649.591237, "env_id": "CustomLunarLander-v0"}
r,l,t
-1153.866529,89,0.948101
-1127.843171,64,1.545696
-1826.377627,144,2.862987
-1374.371873,113,3.880369
-1344.272694,96,4.748096
-1489.679868,112,5.755596
-1586.237164,213,7.707809
-1176.17285,122,8.829626
-1874.317027,149,10.690141
-1372.665524,118,12.39044
-1541.254225,76,13.516849
-1555.281611,157,15.824106
-1240.483559,102,17.277936
-1328.73596,149,19.466253
-1731.726772,157,21.842263
-1875.45337,191,24.690802
-1918.15993,144,26.819969
-1240.260092,106,28.364046
-1138.156472,78,29.519911
-1195.003309,132,31.493326
-1396.654876,81,32.668868
-1159.495988,102,34.125811
-1347.686723,107,35.660623
-1285.554116,77,36.779273
-1155.613614,71,37.875883
-1364.945351,98,39.348428
-1123.096331,92,40.744871
-1231.768486,65,41.719714
-1257.138921,64,42.680145
-1390.210988,95,44.133167
-1240.397725,63,45.083218
-1097.229516,105,46.648947
-1127.180621,103,48.20223
-1221.902354,75,49.320798
-1270.899168,68,50.356286
-1291.498378,117,52.142654
-1176.516534,69,53.153184
-1373.019452,115,54.890504
-1380.837806,89,56.279372
-1165.524197,71,57.387421
-1180.571155,84,58.658093
-1239.334297,103,60.250423
-1286.520528,70,61.290864
-1127.318073,77,62.432581
-1577.041602,112,64.167353
-1300.160727,93,65.689147
-1073.912266,74,66.905435
-1216.668492,68,67.949857
-1257.834804,83,69.204818
-1805.049802,122,71.09185
-1125.306921,76,72.240838
-1078.805456,82,73.57753
-1086.720449,57,74.469603
-1182.659331,80,75.73961
-1109.624165,70,76.850778
-1172.54078,61,77.81192
-1106.694144,85,79.087931
-1114.673673,62,80.073352
-1156.509095,84,81.389968
-1283.235095,80,82.663002
-1131.333728,77,83.844168
-1300.333102,103,85.413304
-1128.575207,87,86.829506
-1044.441482,101,88.474077
-1137.868763,76,89.630577
-1149.983947,75,90.829932
-1280.255005,86,92.138863
-1666.125539,87,93.467836
-1056.172473,81,94.676394
-1288.762311,99,96.180446
-1202.734173,69,97.242974
-1227.28429,63,98.248907
-1275.545355,81,99.506057
-1175.958892,92,100.997937
-1149.747068,73,102.148973
-1210.854826,68,103.166497
-1289.575348,102,104.749941
-1090.864211,106,106.386237
-1143.901411,77,107.593491
-1188.696374,82,108.855664
-1295.651871,75,110.000011
-1365.37722,98,111.466252
-1353.112171,100,112.988131
-1115.759238,88,114.363858
-1222.294257,74,115.499946
-1167.832662,71,116.580523
-1076.055781,72,117.780781
-1157.259282,57,118.750966
-1201.22394,37,119.368483
-1139.475108,86,120.711704
-1071.275305,79,121.92304
-1145.264626,127,123.957781
-1195.091989,129,126.237739
-1102.130075,116,128.09812
-1093.712131,55,128.917025
-1073.345353,82,130.202116
-1212.986168,66,131.220917
-1130.247815,132,133.16887
-1344.402942,114,134.902985
-1142.856445,121,136.776083
-1109.216124,102,138.296356
-1262.523941,95,139.749133
-1093.762665,63,140.692969
-1224.964012,51,141.453654
-1185.196636,85,142.728845
-1089.697482,98,144.280111
-1249.521935,88,145.650075
-1101.705759,82,146.926257
-1190.729733,58,147.785825
-1141.10487,64,148.75422
-1301.844825,93,150.182386
-1120.543436,64,151.204357
-1360.735273,105,152.800573
-1146.374887,53,153.591787
-1390.737782,434,160.160008
-1260.577872,92,161.570482
-1098.234782,61,162.535882
-1232.327044,152,164.824718
-1253.148778,94,166.212312
-1081.802035,93,167.596081
-1165.386703,113,169.294726
-1265.943251,104,170.869455
-1212.697984,54,171.721112
-1272.00894,114,173.435584
-1296.826292,96,174.848779
-1101.354517,110,176.516141
-1257.796513,90,177.861985
-1215.895506,114,179.588177
-1042.188988,53,180.401181
-1239.023074,105,182.032423
-1172.718223,98,183.582781
-1050.702842,42,184.239182
-1144.649102,110,185.934714
-1120.463896,65,186.9274
-1261.973722,72,188.059999
-1179.170276,79,189.281859
-1126.243012,91,190.662185
-1212.980819,94,192.111915
-1284.563362,96,193.594877
-1254.454887,72,194.767185
-1227.747858,75,195.940979
-1449.918544,95,197.419405
-1189.394625,89,198.766927
-1076.777696,85,200.088703
-1289.527799,91,201.495192
-1324.26722,152,203.842025
-1133.886524,40,204.456198
-1394.880519,122,206.302176
-1045.729085,49,207.065032
-1287.072577,122,208.954542
-2145.981003,514,216.801296
-1180.768561,111,218.427649
-1291.391597,160,220.854524
-1146.311847,51,221.630156
-1148.191282,71,222.737226
-1209.221928,107,224.367322
-1157.049153,74,225.487665
-1145.546818,92,226.914323
-1265.74018,77,228.066184
-1259.109304,87,229.437199
-1098.951664,91,230.849787
-1215.848047,77,232.042842
-1293.62407,95,233.494713
-1263.086427,104,235.060891
-1204.913453,60,235.976054
-1127.66777,100,237.483238
-1184.103131,33,237.993516
-1373.233341,122,239.805354
-1310.42454,89,241.116345
-1507.03109,115,242.827088
-1417.435135,132,244.826911
-1269.279142,88,246.162889
-1244.034271,103,247.738453
-1248.451724,126,249.715222
-1311.276958,130,251.712987
-1278.570346,90,253.078368
-1076.896297,69,254.124641
-1179.34225,167,256.654048
-1145.123153,58,257.524384
-1178.642693,154,259.905581
-1138.183768,98,261.37593
-1296.679969,172,263.944358
-1207.838602,64,264.875278
-1339.795287,86,266.167513
-1200.471683,63,267.11988
-1121.264508,64,268.067637
-1332.901338,91,269.412752
-1211.381572,58,270.253383
-1239.920107,77,271.360663
-1149.236823,66,272.341753
-1228.843982,85,273.644606
-1275.698476,73,274.69869
-1228.453237,79,275.868861
-1989.290536,381,281.475037
-692.362968,1000,296.231834
-1198.779524,93,297.591723
-1075.595221,41,298.193385
-1228.318997,84,299.442104
-1322.142828,138,301.601728
-1185.883355,107,303.220893
-1122.779436,80,304.430459
-1168.39996,102,305.930705
-1152.719747,63,306.866365
-1158.211879,80,308.071169
-1168.476555,68,309.091872
-1469.279668,279,313.213825
-1188.130572,83,314.410192
-1621.739004,193,317.252861
-1166.384698,67,318.26153
-1302.990787,88,319.570419
-1301.399802,89,320.866619
-1212.099554,70,321.967931
-1132.030103,109,323.552836
-1209.648873,63,324.551021
-1358.473434,1000,339.941388
-1238.141952,94,341.369883
-877.568989,1000,356.561773
-1257.108076,77,357.695268
-1360.82327,122,359.508537
-1208.691217,55,360.30582
-1246.412235,94,361.686336
-1167.723964,78,362.81677
-1243.361054,103,364.35571
-1166.92889,99,365.799901
-1062.054556,91,367.13649
-1218.092719,85,368.396636
-1087.558891,58,369.253127
-1193.044676,63,370.160781
-1267.803515,64,371.100079
-1168.627531,80,372.262502
-1206.318156,71,373.394097
-1260.32427,75,374.502224
-1181.04994,66,375.48827
-1108.624506,66,376.474681
-1297.227354,72,377.590281
-1294.958988,84,378.813257
-1245.794735,77,379.982608
-1245.909482,1000,395.063817
-1123.270825,71,396.153084
-1361.521905,95,397.609254
-1746.999708,279,401.753359
-1101.619073,75,402.8608
-1146.530501,116,404.605124
-2192.404031,533,412.388161
-1342.015855,166,414.894419
-1319.686886,82,416.185364
-1203.009508,97,417.752786
-1233.755741,68,418.754682
-1222.579574,72,419.856711
-1337.267242,84,421.127372
-1173.893133,104,422.712282
-1183.328086,114,424.3876
-1217.297891,108,426.024442
-1109.775531,71,427.115252
-1327.094048,73,428.187905
-1130.986204,80,429.356569
-1150.161348,72,430.42884
-1482.419948,1000,445.085226
-1187.119201,45,445.779978
-1102.337892,66,446.749236
-1254.0613,56,447.617473
-1164.712398,169,450.196832
-1176.461573,102,451.708493
-1207.379615,65,452.686589
-1218.939288,78,453.822916
-1200.014499,61,454.700193
-1398.888057,168,457.19715
-1107.134497,47,457.881124
-1286.32819,118,459.623236
-1561.384267,140,461.679337
-890.173371,1000,476.548004
