#{"t_start": 1759561915.1162515, "env_id": "CustomLunarLander-v0"}
r,l,t
-1.0,134,1.278411
-1.0,74,1.460113
-1.0,96,1.703691
-1.0,97,1.947864
-1.0,91,2.182687
-1.0,97,2.425821
-1.0,64,2.607819
-1.0,137,2.977976
-1.0,65,3.147121
-1.0,66,3.316613
-1.0,119,3.627103
-1.0,63,4.256875
-1.0,91,4.864609
-1.0,32,5.072447
-1.0,75,5.558869
-1.0,77,6.059111
-1.0,84,6.627007
-1.0,97,7.270038
-1.0,97,7.916949
1.0,1,7.922915
-1.0,32,8.133004
-1.0,86,8.695872
-1.0,110,9.406067
-1.0,38,9.656358
-1.0,60,10.038696
-1.0,82,10.594366
-1.0,74,11.074276
-1.0,105,11.745759
-1.0,36,11.972419
-1.0,87,12.534754
-1.0,31,12.740184
-1.0,80,13.284765
-1.0,87,13.872317
-1.0,54,14.262618
-1.0,84,14.8521
-1.0,113,15.613435
-1.0,72,16.126324
-1.0,74,16.637578
-1.0,86,17.211285
-1.0,33,17.439109
-1.0,80,17.981822
-1.0,90,18.575712
1.0,83,19.165219
1.0,93,19.83403
-1.0,73,20.339735
1.0,56,20.725819
1.0,54,21.091175
-1.0,54,21.484905
1.0,88,22.084551
-1.0,106,22.828343
1.0,5,22.861694
-1.0,56,23.248287
-1.0,54,23.624482
-1.0,91,24.273693
1.0,58,24.671725
1.0,62,25.083642
-1.0,56,25.455147
1.0,1,25.461122
-1.0,60,25.860719
-1.0,90,26.459627
-1.0,83,27.016538
-1.0,110,27.747104
1.0,35,28.001213
-1.0,70,28.471301
-1.0,32,28.699908
-1.0,95,29.340292
-1.0,32,29.545192
-1.0,32,29.756769
-1.0,63,30.164877
-1.0,69,30.627104
-1.0,78,31.146581
-1.0,98,31.831061
1.0,35,32.071553
-1.0,75,32.584955
1.0,89,33.190075
-1.0,94,33.844723
-1.0,54,34.22091
-1.0,97,34.893076
1.0,81,35.435887
1.0,39,35.70988
-1.0,53,36.103262
-1.0,33,36.32704
-1.0,32,36.553198
-1.0,75,37.061312
-1.0,65,37.501575
1.0,113,38.266033
-1.0,55,38.631109
-1.0,61,39.042634
-1.0,60,39.450222
-1.0,94,40.086778
-1.0,85,40.659157
-1.0,100,41.328328
1.0,60,41.73958
-1.0,56,42.13021
-1.0,38,42.393529
1.0,55,42.772715
-1.0,62,43.211037
1.0,42,43.501951
1.0,81,44.053241
-1.0,33,44.274808
-1.0,68,44.7265
-1.0,81,45.246393
-1.0,57,45.618443
-1.0,70,46.115683
-1.0,55,46.504845
-1.0,83,47.048869
-1.0,68,47.520958
-1.0,61,47.918764
-1.0,75,48.42764
1.0,14,48.526466
-1.0,91,49.122522
-1.0,31,49.345424
-1.0,62,49.749118
1.0,42,50.021331
1.0,28,50.204979
1.0,56,50.575949
1.0,12,50.653841
-1.0,60,51.05886
-1.0,70,51.515084
1.0,32,51.728646
-1.0,102,52.40819
-1.0,52,52.768131
-1.0,68,53.234319
-1.0,85,53.797847
-1.0,101,54.469669
1.0,61,54.872747
-1.0,67,55.337743
-1.0,49,55.672682
-1.0,107,56.427196
-1.0,70,56.922254
-1.0,122,57.728809
-1.0,99,58.379912
1.0,46,58.682844
-1.0,77,59.182545
-1.0,59,59.575878
1.0,48,59.892836
-1.0,77,60.425427
1.0,29,60.62463
-1.0,68,61.07519
-1.0,99,61.751183
-1.0,63,62.204549
-1.0,57,62.595452
-1.0,73,63.089385
-1.0,96,63.782539
-1.0,60,64.206142
-1.0,82,64.764432
-1.0,57,65.152196
-1.0,64,65.608222
-1.0,74,66.12143
-1.0,61,66.557494
1.0,25,66.727408
-1.0,56,67.128518
-1.0,76,67.661937
-1.0,78,68.20574
1.0,1,68.214366
-1.0,72,68.71663
-1.0,82,69.317141
-1.0,50,69.672458
-1.0,63,70.107029
1.0,4,70.137229
-1.0,57,70.536681
-1.0,39,70.832983
-1.0,66,71.314578
-1.0,50,71.650255
-1.0,59,72.040451
-1.0,31,72.238212
-1.0,71,72.742843
-1.0,68,73.203477
-1.0,73,73.692625
1.0,48,74.005716
-1.0,61,74.447285
-1.0,63,74.943796
-1.0,86,75.59675
-1.0,66,76.049616
-1.0,114,76.84622
-1.0,112,77.584777
-1.0,96,78.220761
1.0,1,78.228733
-1.0,53,78.578149
1.0,13,78.668005
-1.0,69,79.176415
-1.0,74,79.664658
-1.0,49,79.995599
-1.0,79,80.5304
-1.0,76,81.029196
1.0,1,81.036843
-1.0,61,81.436505
1.0,21,81.578861
-1.0,70,82.059737
-1.0,101,82.764048
-1.0,52,83.124216
1.0,21,83.272651
-1.0,55,83.644908
-1.0,62,84.061708
1.0,28,84.244046
-1.0,90,84.848677
-1.0,49,85.176903
1.0,79,85.699071
1.0,1,85.707274
-1.0,65,86.160065
-1.0,115,86.931664
1.0,41,87.216872
-1.0,53,87.611331
1.0,80,88.169529
-1.0,110,88.946439
-1.0,63,89.397464
-1.0,78,89.949399
-1.0,65,90.397928
-1.0,36,90.644423
-1.0,84,91.227495
-1.0,66,91.700085
-1.0,113,92.487035
-1.0,78,93.051943
-1.0,66,93.507767
-1.0,55,93.88354
-1.0,34,94.113767
-1.0,94,94.760415
-1.0,40,95.031759
-1.0,54,95.392407
1.0,56,95.770045
-1.0,69,96.250955
1.0,1,96.258976
-1.0,61,96.655689
1.0,62,97.080623
-1.0,78,97.598639
-1.0,56,97.962598
-1.0,79,98.51831
-1.0,71,99.013533
-1.0,36,99.247754
1.0,59,99.647741
-1.0,78,100.221787
1.0,43,100.504626
-1.0,75,101.004414
0.0,1000,107.844183
1.0,39,108.102016
1.0,53,108.463807
-1.0,83,109.011635
1.0,1,109.019754
-1.0,54,109.374744
-1.0,59,109.771345
-1.0,76,110.263388
-1.0,81,110.822477
-1.0,61,111.24322
-1.0,64,111.68633
1.0,73,112.173411
-1.0,54,112.531687
-1.0,82,113.117437
-1.0,35,113.373077
1.0,37,113.635923
1.0,1,113.642201
-1.0,102,114.367049
-1.0,59,114.759154
-1.0,64,115.189353
-1.0,80,115.710568
-1.0,50,116.040833
